,6923
L,17773.33093137064
b1,5566.595524536273
t_p,880.5283004012475
t_w,653.3929239193005
h_w,3347.2093206627715
d1_plate,11.869001513439452
d4_plate,10.310669104386
d2_plate,27.909426120900054
s_plate,402.4112715407088
d1_walls,20.199294565121573
d4_walls,18.750216027383743
s_walls,407.086332476586
fcc,29.904165417355443
s,0.6869507027806794
beta,-3.005808805104799
h_G,1388.5378961969752
alpha_l,90.0
h_v,0.0
l_v,0.0
oo,30.0
uu,30.0
d3_plate,12.0
d3_walls,12.0
d2_walls,12.0
fsy,390.0
fsu_fac,1.08
esu,0.045
ecu,-0.002
gamma_E,2e-05
phi_k,30.0
q_Gl,6.5
b_Bs,2500.0
Q_k,225000.0
l_sec,0.33
b_sec1_b1,0.33
b_sec2_b1,0.33
h_S1_3,0.33
h_S7_9,0.33
mesh_size_factor,1.0
b2,5566.595524536273
b_sec1_b2,0.33
b_sec2_b2,0.33
fsu,421.2000000000001
