,L,b1,t_p,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,s,beta,h_G,alpha_l,h_v,l_v,oo,uu,d3_plate,d3_walls,d2_walls,fsy,fsu_fac,esu,ecu,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,fsu
0,11984.733625684996,17323.201812569627,1004.8509115523932,811.5169068124425,3173.750471248332,20.60479445913,14.599721428543237,18.964352461347264,318.1637132448104,12.58805053329824,24.91244545048327,257.24506158473696,37.61363236433432,0.7196312992656244,-32.4599576199067,953.1341341253549,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,17323.201812569627,0.33,0.33,421.20000000000005
1,14322.841720107748,9216.634008384986,637.791753332996,495.2131179765867,3293.63268564734,16.965024869284356,31.066463865893798,11.985595321271882,270.0619114704783,21.380906408243757,28.09401965360635,98.69373329132482,29.307197888491284,0.5565813183176738,-24.15161349314366,961.2887994294175,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9216.634008384986,0.33,0.33,421.20000000000005
2,3290.882517728175,7111.625320914698,251.5544842609782,391.66804985846943,3682.071868211911,21.349945980364616,29.416813193707682,12.108260454202554,262.9188244168821,27.188116387021932,26.286490583637537,198.93802093889954,39.18189791985331,0.3941517835333881,50.71301736495201,1354.8326455218214,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,7111.625320914698,0.33,0.33,421.20000000000005
3,6143.874728003844,14508.074833915305,442.87087300250437,917.7520726004528,3623.5412136664117,26.068273114664787,12.321199957529819,29.481103560368293,372.2468462008654,17.994117970603234,15.854020766265544,142.85827731672038,38.607355163026675,0.43883084225345426,34.733686866253485,1311.5544387960597,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,14508.074833915305,0.33,0.33,421.20000000000005
4,16102.887053292332,17130.05035989093,1073.8562050475832,898.829660570797,4952.050785569104,21.656103629734208,16.930967278947286,12.578807112245604,138.48781067497578,17.718799843241392,25.12554236597445,131.29877633332515,39.850774331368235,0.6392476449706352,-29.575928209253156,1218.2263519627695,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,17130.05035989093,0.33,0.33,421.20000000000005
5,13538.765912575365,15765.647674013073,664.0221126216235,436.0084841309611,4260.133237471837,21.973797626295973,28.011755785241228,20.562642887212718,334.391455291814,20.258306163718643,27.320550860234047,196.84921264273018,28.19919245706467,0.4321785845796266,4.154573372576131,1225.1564929734582,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15765.647674013073,0.33,0.33,421.20000000000005
6,9918.316047955765,16483.88781081392,520.8407006957658,784.6434085322677,4525.48873906437,14.749571180876716,12.650630725807446,22.660455574006196,205.10415464755587,13.117783658815787,28.597951225087417,452.4735796820388,41.513479553887144,0.6226899937222885,-25.610321234311435,1173.0712692239629,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,16483.88781081392,0.33,0.33,421.20000000000005
7,10887.132986888906,10757.82220654207,939.8413427831689,678.1366003457885,2575.31713639718,19.53589544973195,23.172683657327482,16.116325233480723,188.46174073288688,23.427721511159547,17.481353554744693,357.89604177917556,46.59060525020437,0.1469761844476304,-39.18683297676307,1058.2316074485855,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,10757.82220654207,0.33,0.33,421.20000000000005
8,14931.334882480338,9177.389793642798,816.1400695073044,1140.405758704941,3867.653100651372,27.589938955929966,22.44956000285473,19.587449592085402,155.320693862375,29.725260850960602,15.75307257296309,95.46426516178333,37.242412556429755,0.8321119067520787,31.107402490358428,798.518689843725,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9177.389793642798,0.33,0.33,421.20000000000005
9,4158.89855641682,9341.687706122175,323.64698494187246,319.0561189185129,2685.4401957113055,19.562211172321092,25.980396670557568,28.286309147906497,455.81229993002114,30.045861773225145,11.147171076097527,129.69634664843858,38.21194625312494,0.8380520566596562,-14.977078037412669,1023.6650666110178,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9341.687706122175,0.33,0.33,421.20000000000005
10,4823.598912516164,11644.3126145946,221.67009340362526,665.2627391477317,4025.426617035417,16.9620718462388,13.459619080531937,26.95201347460029,428.01329148572,25.72144085229144,20.795158564033205,326.1196922608758,36.43798116990958,0.1564866376516167,30.125873184097433,234.4018156225025,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,11644.3126145946,0.33,0.33,421.20000000000005
11,12097.562011135497,16622.85081188957,784.70191644292,831.3756040149731,3295.775466194559,20.74219930783992,18.929693586299386,25.673440714430107,384.0279873498554,14.818929695906654,26.120758878395343,283.1900124647193,33.12004708273668,0.7230658543835187,-37.72903065103587,1450.6765774008652,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,16622.85081188957,0.33,0.33,421.20000000000005
12,16557.07650247179,13092.42386696867,1185.5748447863032,801.0627728645786,2633.002775368917,22.645479090891936,13.99661918726971,17.52491355263647,174.79289409699493,29.459052113867298,23.001844448741743,172.8910613064844,46.297249095249,0.5151713080411033,-12.041106837834812,1264.8788519327752,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,13092.42386696867,0.33,0.33,421.20000000000005
13,5509.590228975186,4479.05657813,289.1691409535768,895.0293899794935,2374.285481850835,22.532445888006336,24.987696441384205,29.98437284564144,444.2602953786758,13.434432179048788,26.821451815893276,250.9281149857665,39.23198401198245,0.6689915180291562,31.7311825834785,1185.8474123590993,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,4479.05657813,0.33,0.33,421.20000000000005
14,5478.337833237434,4209.153238969165,323.75433874307686,642.3628893658733,2909.033935549497,16.89919529455648,26.384236598258642,21.649460752229412,169.16457937007303,9.989832323094536,10.41759990220827,401.82210705052483,25.68279625954143,0.4841553775813132,-32.866976099653975,620.0771580667891,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,4209.153238969165,0.33,0.33,421.20000000000005
15,11449.277507642722,16362.51268036691,1089.9911600842022,664.4313192745221,2683.198880226516,10.64337654728938,21.947341287195982,20.305254520187294,278.22256242568886,23.2943499352685,21.03225624288174,162.86287926760252,30.448306549269233,0.704550135047498,41.05300907163254,658.822152352853,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,16362.51268036691,0.33,0.33,421.20000000000005
16,10316.865761067673,13802.093246491513,938.3521149154217,919.0575154450057,2628.961616063608,23.675374316674603,10.49213238896786,20.4167556193516,101.36285717953545,19.127543839433493,16.185188180799905,333.9111290799501,43.73501719089531,0.4603353081080589,-17.113376175589853,1380.070957842851,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,13802.093246491513,0.33,0.33,421.20000000000005
17,17646.636084671343,13252.394137588217,902.3380533643799,497.6862065251875,3860.2477143486703,25.390244436762195,28.69086086263744,22.662977633420653,125.53086068930475,16.204171838954007,15.919469844716177,132.11266922295587,32.58770639245588,0.569121595097154,36.17487854517529,534.7611950283754,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,13252.394137588217,0.33,0.33,421.20000000000005
18,7964.689071367957,3459.8632883633877,863.0149621484534,778.4204308155885,2581.775192033065,18.68352461099203,12.158754903720308,30.067584768551423,174.92443644304913,25.2350016843551,18.936880152197922,448.69466202135857,38.590668612579705,0.45167989778010287,1.7791322491326211,621.2901396823431,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,3459.8632883633877,0.33,0.33,421.20000000000005
19,13886.641265747454,12408.936210149619,1110.6295656843856,505.4260322198634,2283.7490518211735,19.129365033298235,26.127508153048144,14.33582163841555,221.96330159818316,22.289786864024638,28.029611956743572,304.6490098508236,38.24352366862325,0.15326744851538635,39.94118751134178,1002.5925834924008,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,12408.936210149619,0.33,0.33,421.20000000000005
20,11587.387018845284,6090.079711607761,1029.5351502339058,690.7026580237158,2965.0203540093235,18.471936928148633,27.234537245845623,19.13397481651826,201.4378164257475,14.29192081547771,19.720650506226836,277.5741663363092,28.916824869585497,0.28144313805322796,34.86724493392023,1176.5370228242373,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,6090.079711607761,0.33,0.33,421.20000000000005
21,9159.37532989866,9453.423574316572,575.65325932254,1117.9416435484402,5000.598583179395,23.02861050977244,14.677864966812715,25.68128499377622,436.4650182908868,23.102513424776426,14.432875643451258,350.8646694193922,41.530612299134276,0.5736442474399147,-4.625790011061011,438.03806016637157,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9453.423574316572,0.33,0.33,421.20000000000005
22,5494.227576913244,19563.55133283927,730.0705217049682,370.42601653905405,3184.6094712181157,31.501708037936304,24.854064177001618,16.167736938006588,500.17305303187374,22.87279199723677,13.011811121253551,373.97856049386587,39.35924363986878,0.028349196697108652,37.15860633147932,814.4885976831198,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,19563.55133283927,0.33,0.33,421.20000000000005
23,9798.595775513213,6910.599642591348,716.310174275966,381.5324116645351,3295.5108009760156,24.84393125358505,22.92450140292323,20.848165996199164,336.3566151257291,14.851610808360055,19.49347296126125,274.5588424150658,41.0898312353634,0.21361837784724552,-16.068341910557574,569.4368012514255,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,6910.599642591348,0.33,0.33,421.20000000000005
24,6611.483344237396,6850.760026915682,620.5268846635726,576.0980432931042,4809.214905528563,23.628020889966486,19.76797454553148,29.217260412012834,227.72842811652694,14.56997462199575,28.23085278092414,438.417569265191,28.88167235038973,0.25860272753150687,41.163496081973925,992.433915485361,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,6850.760026915682,0.33,0.33,421.20000000000005
