,ID,s1,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,beta1,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,0.1,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.2246737596604411,225.94854736328125,188.2904510498047,-352.941162109375,eta_4,0,4.19697783145781,225.94854736328125,2506.003662109375,-352.941162109375,eta_3_top,0,0.8300973623407311,534.6,445.5,0.0,bot,1,0.8300973623407311,534.6,445.5,0.0,bot,1,2.3823392039375872,225.94854736328125,2506.003662109375,-352.941162109375,eta_y_top_stresses
1,1,0.1571428571428571,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.2246737596604411,225.94854736328125,188.2904510498047,-352.941162109375,eta_4,0,4.19697783145781,225.94854736328125,2506.003662109375,-352.941162109375,eta_3_top,0,0.8300973623407311,534.6,445.5,0.0,bot,1,0.8300973623407311,534.6,445.5,0.0,bot,1,2.3823392039375872,225.94854736328125,2506.003662109375,-352.941162109375,eta_y_top_stresses
2,2,0.2142857142857143,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.1612415622935306,225.94854736328125,188.2904510498047,-352.941162109375,eta_4,0,4.062907238959179,225.94854736328125,2506.003662109375,-352.941162109375,eta_3_top,0,0.7993404428245754,534.6,445.5,0.0,bot,2,0.7993404428245754,534.6,445.5,0.0,bot,2,2.3165643800190945,225.94854736328125,2506.003662109375,-352.941162109375,eta_y_top_stresses
3,3,0.2714285714285714,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.6993866875572448,2364.3486328125,188.2904510498047,-352.941162109375,eta_4,0,5.648864093394388,2364.3486328125,1975.9962158203125,-352.941162109375,eta_3_top,0,1.3112196897351085,2673.0,445.5,0.0,bot,0,1.3112196897351085,2673.0,445.5,0.0,bot,0,3.100200284625795,2364.3486328125,2506.003662109375,-352.941162109375,eta_y_top_stresses
4,4,0.3285714285714286,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.5133753064265405,2981.6513671875,188.2904510498047,-352.941162109375,eta_4,0,4.905969982402769,2981.6513671875,2506.003662109375,-352.941162109375,eta_3_top,0,1.1209702060261582,2673.0,445.5,0.0,bot,0,1.1209702060261582,2673.0,445.5,0.0,bot,0,2.732051697927675,2981.6513671875,2506.003662109375,-352.941162109375,eta_y_top_stresses
5,5,0.3857142857142858,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.7961418556781004,3433.548583984375,188.2904510498047,-352.941162109375,eta_4,0,6.018116027743446,3433.548583984375,1975.9962158203125,-352.941162109375,eta_3_top,0,1.3930129656607664,3742.2000000000007,445.5,0.0,bot,0,1.3930129656607664,3742.2000000000007,445.5,0.0,bot,0,3.281916608481985,3433.548583984375,2506.003662109375,-352.941162109375,eta_y_top_stresses
6,6,0.4428571428571428,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.570098959289267,4050.8515625,188.2904510498047,-352.941162109375,eta_4,0,5.115568795060729,4050.8515625,2506.003662109375,-352.941162109375,eta_3_top,0,1.1762406018510374,3742.2000000000007,445.5,0.0,bot,0,1.1762406018510374,3742.2000000000007,445.5,0.0,bot,0,2.835111047097256,4050.8515625,2506.003662109375,-352.941162109375,eta_y_top_stresses
7,7,0.5,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.83020428484796,4502.74853515625,188.2904510498047,-352.941162109375,eta_4,0,6.18300120016998,4502.74853515625,1975.9962158203125,-352.941162109375,eta_3_top,0,1.4148678580609722,4811.400000000001,445.5,0.0,bot,0,1.4148678580609722,4811.400000000001,445.5,0.0,bot,0,3.363728138500307,4502.74853515625,1975.9962158203125,-352.941162109375,eta_y_top_stresses
8,8,0.5571428571428572,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.5658926306188763,5571.94873046875,188.2904510498047,-352.941162109375,eta_4,0,5.100730298910119,5571.94873046875,2506.003662109375,-352.941162109375,eta_3_top,0,1.1713623105566804,5880.6,445.5,0.0,bot,0,1.1713623105566804,5880.6,445.5,0.0,bot,0,2.8277447894524914,5571.94873046875,2506.003662109375,-352.941162109375,eta_y_top_stresses
9,9,0.6142857142857143,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.790508539656051,6189.25146484375,188.2904510498047,-352.941162109375,eta_4,0,5.993789745988548,6189.25146484375,1975.9962158203125,-352.941162109375,eta_3_top,0,1.3865114759132269,5880.6,445.5,0.0,bot,0,1.3865114759132269,5880.6,445.5,0.0,bot,0,3.2698285562701983,6189.25146484375,2506.003662109375,-352.941162109375,eta_y_top_stresses
