,ID,beta1,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,-50.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.025113110381374,1144.5162353515625,75.3161849975586,-352.941162109375,eta_4,0,4.933789769990455,1350.2838134765625,75.3161849975586,-352.941162109375,eta_3_bot,0,0.7121086209015922,1960.2000000000005,178.20000000000005,0.0,bot,12,0.8089517774814674,178.20000000000002,5221.8,0.0,bot,3,2.7668505531937497,75.3161849975586,5324.68359375,-352.941162109375,eta_y_bot_stresses
1,1,-42.85714285714285,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0292103775362773,2570.1162109375,75.3161849975586,-352.941162109375,eta_4,0,5.213796235977668,2419.48388671875,281.0838317871094,-352.941162109375,eta_3_bot,0,0.7321321667827321,3029.4000000000005,178.20000000000005,0.0,bot,10,0.9164447091772424,534.6,5221.8,0.0,bot,3,2.9028196899337497,2570.1162109375,75.3161849975586,-352.941162109375,eta_y_bot_stresses
2,2,-35.714285714285715,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.02934820050522,3132.283935546875,75.3161849975586,-352.941162109375,eta_4,0,5.224890339650111,3132.283935546875,281.0838317871094,-352.941162109375,eta_3_bot,0,0.7261517753153953,3385.8000000000006,178.20000000000005,0.0,bot,10,0.963543383491132,891.0000000000002,5221.8,0.0,bot,3,2.8972676042452634,3132.283935546875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
3,3,-28.57142857142857,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.037799368958704,3639.316162109375,75.3161849975586,-352.941162109375,eta_4,0,5.696409306372335,3639.316162109375,75.3161849975586,-352.941162109375,eta_3_bot,0,0.8392584652185725,3742.2000000000007,178.20000000000005,0.0,bot,5,1.199659023970574,1960.2000000000005,5221.8,0.0,bot,0,3.1225648143638383,3639.316162109375,75.3161849975586,-352.941162109375,eta_y_bot_stresses
4,4,-21.428571428571427,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0398398329092595,3995.716064453125,75.3161849975586,-352.941162109375,eta_4,0,5.772932564207983,3995.716064453125,75.3161849975586,-352.941162109375,eta_3_bot,0,0.8592748370572767,4098.6,178.20000000000005,0.0,bot,5,1.2743827200773552,2673.0,5221.8,0.0,bot,0,3.160270076435677,3995.716064453125,75.3161849975586,-352.941162109375,eta_y_bot_stresses
5,5,-14.285714285714285,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0412892878243358,4352.1162109375,75.3161849975586,-352.941162109375,eta_4,0,5.83073966414616,4352.1162109375,75.3161849975586,-352.941162109375,eta_3_bot,0,0.8635179557880625,4098.6,178.20000000000005,0.0,bot,6,1.364592416741877,3385.8000000000006,5221.8,0.0,bot,0,3.188832649001736,4352.1162109375,75.3161849975586,-352.941162109375,eta_y_bot_stresses
6,6,-7.142857142857139,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.041892568922209,4557.8837890625,75.3161849975586,-352.941162109375,eta_4,0,5.840397906143616,4557.8837890625,75.3161849975586,-352.941162109375,eta_3_bot,0,0.8523333540447091,4455.000000000001,178.20000000000005,0.0,bot,6,1.3988051241919393,3742.2000000000007,5221.8,0.0,bot,0,3.193959062200744,4557.8837890625,75.3161849975586,-352.941162109375,eta_y_bot_stresses
7,7,0.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0345562227855043,4708.51611328125,75.3161849975586,-352.941162109375,eta_4,0,5.530146629349159,4708.51611328125,75.3161849975586,-352.941162109375,eta_3_bot,0,0.7713922342447652,4811.400000000001,178.20000000000005,0.0,bot,7,1.3784886889144523,4811.400000000001,5221.8,0.0,bot,0,3.039947735444076,4708.51611328125,75.3161849975586,-352.941162109375,eta_y_bot_stresses
8,8,7.142857142857146,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.041413856593604,5064.916015625,75.3161849975586,-352.941162109375,eta_4,0,5.827431309944792,5064.916015625,75.3161849975586,-352.941162109375,eta_3_bot,0,0.8491249321681883,5167.800000000001,178.20000000000005,0.0,bot,7,1.357674356540527,5880.600000000001,5221.8,0.0,bot,0,3.187204763455523,5064.916015625,75.3161849975586,-352.941162109375,eta_y_bot_stresses
9,9,14.285714285714292,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0474934836875016,5421.31640625,75.3161849975586,-352.941162109375,eta_4,0,5.902046642670095,5421.31640625,75.3161849975586,-352.941162109375,eta_3_bot,0,0.871797948377489,5524.200000000001,178.20000000000005,0.0,bot,6,1.380397280482215,6237.000000000002,5221.8,0.0,bot,0,3.2250105556832334,5421.31640625,75.3161849975586,-352.941162109375,eta_y_bot_stresses
