,ID,b1,L,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,3000.0,5800,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,3000.0,0.33,0.33,-0.002,407.94,1.1860697253659265,1199.211669921875,188.2904510498047,-352.941162109375,eta_4,0,4.121848376125128,2784.44873046875,2506.003662109375,-352.941162109375,eta_3_top,0,0.8246710434325683,1485.0,445.5,0.0,bot,3,0.8246710434325683,1485.0,445.5,0.0,bot,3,2.3454368292950827,2784.44873046875,2506.003662109375,-352.941162109375,eta_y_top_stresses
1,1,4214.285714285714,5800,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,4214.285714285714,0.33,0.33,-0.002,407.94,1.479689487213654,1939.124755859375,188.2904510498047,-352.941162109375,eta_4,0,5.286990015344852,2233.017333984375,1975.9962158203125,-352.941162109375,eta_3_top,0,1.1310569411718014,2433.75,445.5,0.0,bot,0,1.1310569411718014,2433.75,445.5,0.0,bot,0,2.91990453883843,2233.017333984375,2506.003662109375,-352.941162109375,eta_y_top_stresses
2,2,5428.571428571428,5800,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,5428.571428571428,0.33,0.33,-0.002,407.94,1.4711333977753709,2497.8564453125,188.2904510498047,-352.941162109375,eta_4,0,4.890706031741152,2876.4296875,2506.003662109375,-352.941162109375,eta_3_top,0,1.100195541511348,3135.0,445.5,0.0,bot,0,1.100195541511348,3135.0,445.5,0.0,bot,0,2.723832988177249,2876.4296875,2506.003662109375,-352.941162109375,eta_y_top_stresses
3,3,6642.857142857143,5800,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,6642.857142857143,0.33,0.33,-0.002,407.94,1.419436413570316,3519.84130859375,188.2904510498047,-352.941162109375,eta_4,0,4.655597438968325,3519.84130859375,2506.003662109375,-352.941162109375,eta_3_top,0,1.0467876898001758,3836.250000000001,445.5,0.0,bot,0,1.0467876898001758,3836.250000000001,445.5,0.0,bot,0,2.6079485366357327,3519.84130859375,2506.003662109375,-352.941162109375,eta_y_top_stresses
4,4,7857.142857142857,5800,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,7857.142857142857,0.33,0.33,-0.002,407.94,1.6474888152928684,4504.07373046875,188.2904510498047,-352.941162109375,eta_4,0,5.503229987834662,4504.07373046875,2506.003662109375,-352.941162109375,eta_3_top,0,1.2658326885226918,4753.571428571429,445.5,0.0,bot,0,1.2658326885226918,4753.571428571429,445.5,0.0,bot,0,3.0273532393084843,4504.07373046875,2506.003662109375,-352.941162109375,eta_y_top_stresses
5,5,9071.42857142857,5800,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9071.42857142857,0.33,0.33,-0.002,407.94,1.8709007950564116,4202.30078125,188.2904510498047,-352.941162109375,eta_4,0,6.356885477597498,4202.30078125,2506.003662109375,-352.941162109375,eta_3_top,0,1.4665726793402043,4490.357142857143,445.5,0.0,bot,0,1.4665726793402043,4490.357142857143,445.5,0.0,bot,0,3.449969410235186,4202.30078125,1975.9962158203125,-352.941162109375,eta_y_top_stresses
6,6,10285.714285714286,5800,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,10285.714285714286,0.33,0.33,-0.002,407.94,1.796875113680856,4764.81298828125,188.2904510498047,-352.941162109375,eta_4,0,6.04295620784375,4764.81298828125,1975.9962158203125,-352.941162109375,eta_3_top,0,1.3738788759133882,5091.4285714285725,445.5000000000001,0.0,bot,0,1.3738788759133882,5091.4285714285725,445.5000000000001,0.0,bot,0,3.294307165162827,4764.81298828125,1975.9962158203125,-352.941162109375,eta_y_top_stresses
7,7,11500.0,5800,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,11500.0,0.33,0.33,-0.002,407.94,1.7062436211332994,5492.00537109375,188.2904510498047,-352.941162109375,eta_4,0,5.613033505540095,5492.00537109375,2506.003662109375,-352.941162109375,eta_3_top,0,1.3038342372557876,5218.124999999999,445.5,0.0,bot,0,1.3038342372557876,5218.124999999999,445.5,0.0,bot,0,3.0809829257693213,5492.00537109375,2506.003662109375,-352.941162109375,eta_y_top_stresses
8,8,12714.285714285714,5800,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,12714.285714285714,0.33,0.33,-0.002,407.94,1.6459817275039184,6071.90625,188.2904510498047,-352.941162109375,eta_4,0,5.372352246367067,6071.90625,2506.003662109375,-352.941162109375,eta_3_top,0,1.2404474398042853,5769.107142857141,445.5,0.0,bot,0,1.2404474398042853,5769.107142857141,445.5,0.0,bot,0,2.961841603607051,6071.90625,2506.003662109375,-352.941162109375,eta_y_top_stresses
9,9,13928.571428571428,5800,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,13928.571428571428,0.33,0.33,-0.002,407.94,1.8196908351086925,7800.9150390625,188.2904510498047,-352.941162109375,eta_4,0,6.160994202686239,7137.47802734375,1975.9962158203125,-352.941162109375,eta_3_top,0,1.39112720710366,7469.1964285714275,445.5,0.0,bot,0,1.39112720710366,7469.1964285714275,445.5,0.0,bot,0,3.35369421303052,7137.47802734375,1975.9962158203125,-352.941162109375,eta_y_top_stresses
