,ID,fcc,L,b1,t_p,t_w,h_w,d1_plate,d4_plate,s_plate,d1_walls,d4_walls,s_walls,fsy,fsu_fac,s,beta,ecu,fsu,b2,alpha_l,l_sec,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,withMPCs,offsetmodeling,mesh_size_factor,oo,uu,d2_plate,d3_plate,d2_walls,d3_walls,d1_plate_s1,d2_plate_s1,d3_plate_s1,d4_plate_s1,s1_plate_s1,s2_plate_s1,s3_plate_s1,s4_plate_s1,d1_walls_s1,d2_walls_s1,d3_walls_s1,d4_walls_s1,s1_walls_s1,s2_walls_s1,s3_walls_s1,s4_walls_s1,d1_plate_s2,d2_plate_s2,d3_plate_s2,d4_plate_s2,s1_plate_s2,s2_plate_s2,s3_plate_s2,s4_plate_s2,d1_walls_s2,d2_walls_s2,d3_walls_s2,d4_walls_s2,s1_walls_s2,s2_walls_s2,s3_walls_s2,s4_walls_s2,d1_plate_s3,d2_plate_s3,d3_plate_s3,d4_plate_s3,s1_plate_s3,s2_plate_s3,s3_plate_s3,s4_plate_s3,d1_walls_s3,d2_walls_s3,d3_walls_s3,d4_walls_s3,s1_walls_s3,s2_walls_s3,s3_walls_s3,s4_walls_s3,d1_plate_s4,d2_plate_s4,d3_plate_s4,d4_plate_s4,s1_plate_s4,s2_plate_s4,s3_plate_s4,s4_plate_s4,d1_walls_s4,d2_walls_s4,d3_walls_s4,d4_walls_s4,s1_walls_s4,s2_walls_s4,s3_walls_s4,s4_walls_s4,d1_plate_s5,d2_plate_s5,d3_plate_s5,d4_plate_s5,s1_plate_s5,s2_plate_s5,s3_plate_s5,s4_plate_s5,d1_walls_s5,d2_walls_s5,d3_walls_s5,d4_walls_s5,s1_walls_s5,s2_walls_s5,s3_walls_s5,s4_walls_s5,d1_plate_s6,d2_plate_s6,d3_plate_s6,d4_plate_s6,s1_plate_s6,s2_plate_s6,s3_plate_s6,s4_plate_s6,d1_walls_s6,d2_walls_s6,d3_walls_s6,d4_walls_s6,s1_walls_s6,s2_walls_s6,s3_walls_s6,s4_walls_s6,d1_plate_s7,d2_plate_s7,d3_plate_s7,d4_plate_s7,s1_plate_s7,s2_plate_s7,s3_plate_s7,s4_plate_s7,d1_walls_s7,d2_walls_s7,d3_walls_s7,d4_walls_s7,s1_walls_s7,s2_walls_s7,s3_walls_s7,s4_walls_s7,d1_plate_s8,d2_plate_s8,d3_plate_s8,d4_plate_s8,s1_plate_s8,s2_plate_s8,s3_plate_s8,s4_plate_s8,d1_walls_s8,d2_walls_s8,d3_walls_s8,d4_walls_s8,s1_walls_s8,s2_walls_s8,s3_walls_s8,s4_walls_s8,d1_plate_s9,d2_plate_s9,d3_plate_s9,d4_plate_s9,s1_plate_s9,s2_plate_s9,s3_plate_s9,s4_plate_s9,d1_walls_s9,d2_walls_s9,d3_walls_s9,d4_walls_s9,s1_walls_s9,s2_walls_s9,s3_walls_s9,s4_walls_s9,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
0,0,10.0,7000,9720,400,400,2580,24,24,200,14,24,200,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,2.407318636553144,225.94854736328125,2415.1064453125,-352.941162109375,eta_1_x,0,2.0432082590960032,225.94854736328125,152.94117736816406,-1071.47802734375,eta_3_bot,0
1,1,18.88888888888889,7000,9720,400,400,2580,24,24,200,14,24,200,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,2.5413195366007506,225.94854736328125,2415.1064453125,-352.941162109375,eta_1_x,0,2.932884187323271,225.94854736328125,2415.1064453125,-352.941162109375,eta_3_top,0
2,2,27.77777777777778,7000,9720,400,400,2580,24,24,200,14,24,200,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,2.6410997597001504,225.94854736328125,3062.8935546875,-352.941162109375,eta_1_x,0,3.539633417278364,225.94854736328125,2415.1064453125,-352.941162109375,eta_3_top,0
3,3,36.66666666666667,7000,9720,400,400,2580,24,24,200,14,24,200,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,2.7241570663435497,225.94854736328125,2415.1064453125,-352.941162109375,eta_1_x,0,4.075956474242333,225.94854736328125,2415.1064453125,-352.941162109375,eta_3_top,0
4,4,45.55555555555556,7000,9720,400,400,2580,24,24,200,14,24,200,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,2.795388980700847,225.94854736328125,2415.1064453125,-352.941162109375,eta_1_x,0,4.569588725637597,225.94854736328125,3062.8935546875,-352.941162109375,eta_3_top,0
5,5,54.44444444444444,7000,9720,400,400,2580,24,24,200,14,24,200,390,1.85,0.18179012,5,-0.0021873968088634,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,2.832400493200841,225.94854736328125,3062.8935546875,-352.941162109375,eta_1_x,0,4.760978079173202,225.94854736328125,2415.1064453125,-352.941162109375,eta_3_top,0
6,6,63.333333333333336,7000,9720,400,400,2580,24,24,200,14,24,200,390,1.85,0.18179012,5,-0.0023354566889959,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,2.870134962142451,225.94854736328125,2415.1064453125,-352.941162109375,eta_1_x,0,4.967144584690568,225.94854736328125,3062.8935546875,-352.941162109375,eta_3_top,0
7,7,72.22222222222223,7000,9720,400,400,2580,24,24,200,14,24,200,390,1.85,0.18179012,5,-0.0024397605766225,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,2.9038223674457244,225.94854736328125,2415.1064453125,-352.941162109375,eta_1_x,0,5.204916497340224,225.94854736328125,3062.8935546875,-352.941162109375,eta_3_top,0
8,8,81.11111111111111,7000,9720,400,400,2580,24,24,200,14,24,200,390,1.85,0.18179012,5,-0.0025256106450906,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,2.927693673847944,225.94854736328125,2415.1064453125,-352.941162109375,eta_1_x,0,5.445422358320077,225.94854736328125,3062.8935546875,-352.941162109375,eta_3_top,0
9,9,90.0,7000,9720,400,400,2580,24,24,200,14,24,200,390,1.85,0.18179012,5,-0.0026004968327615,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,2.957219454433261,225.94854736328125,2415.1064453125,-352.941162109375,eta_1_x,0,5.691774225011662,225.94854736328125,3062.8935546875,-352.941162109375,eta_3_top,0
