,ID,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,2000.0,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,3.6966328098164425,9642.4013671875,208.21023559570312,-352.941162109375,eta_4,0.0,14.078562487515732,9642.4013671875,1447.058837890625,-2938.8232421875,eta_3_bot,0.0,3.326536008635768,9536.4,1600.0,-3027.1000000000004,bot,0.0,6.6398620220068825,9536.4,396.0,0.0,bot,0.0,7.298659716241988,9642.4013671875,1447.058837890625,-2938.8232421875,eta_y_bot_stresses
1,1,3142.857142857143,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,2.6206070719144403,9642.4013671875,237.95433044433597,-352.941162109375,eta_4,0.0,17.108155005993936,9642.4013671875,2589.915771484375,-3115.376953125,eta_3_bot,0.0,2.7038457777141693,9536.4,150.85714285714283,0.0,bot,0.0,4.231852931932381,9536.4,452.57142857142856,0.0,bot,0.0,8.812045090527565,9642.4013671875,2589.915771484375,-3115.376953125,eta_y_bot_stresses
2,2,4285.714285714286,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.576090408091225,9642.4013671875,252.8263702392578,-352.941162109375,eta_4,0.0,9.403339953853225,9642.4013671875,67.74462127685547,-352.941162109375,eta_3_bot,0.0,1.3523268913576016,9536.4,160.2857142857143,0.0,bot,0.0,2.988479109668163,9536.4,480.8571428571429,0.0,bot,0.0,4.966115887136168,9642.4013671875,67.74462127685547,-352.941162109375,eta_y_bot_stresses
3,3,5428.571428571428,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0132933544472584,9642.4013671875,261.750244140625,-352.941162109375,eta_4,0.0,4.07331336667485,9642.4013671875,70.1357650756836,-352.941162109375,eta_3_bot,0.0,0.3780972175809568,9536.4,165.94285714285718,0.0,bot,17.0,1.7910779664672587,9536.4,497.82857142857154,0.0,bot,0.0,2.3245599893188498,9642.4013671875,70.1357650756836,-352.941162109375,eta_y_bot_stresses
4,4,6571.428571428572,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,0.9995901677434132,9642.4013671875,71.72978973388672,-352.941162109375,eta_4,92.0,2.420360541229423,9642.4013671875,71.72978973388672,-352.941162109375,eta_3_bot,0.0,0.1532389737260018,9536.4,169.71428571428572,0.0,bot,54.0,1.574487245961436,8802.000000000002,509.1428571428572,0.0,bot,0.0,1.5285187995434746,9642.4013671875,267.69921875,-352.941162109375,eta_y_bot_stresses
5,5,7714.285714285715,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,0.9958750926685372,9642.4013671875,72.86819458007812,-352.941162109375,eta_4,252.0,0.542938452812095,9642.4013671875,3199.3212890625,-352.941162109375,eta_3_top,150.0,0.0277238757148381,9536.4,172.40816326530614,0.0,bot,61.0,0.4155798176346287,9536.4,2946.6122448979586,0.0,top,6.0,0.92064712311057,9642.4013671875,3404.43359375,-352.941162109375,eta_y_top_stresses
6,6,8857.142857142857,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,
7,7,10000.0,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,
8,8,11142.857142857143,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,
9,9,12285.714285714286,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,
