,ID,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,2000.0,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,8.545321897026302,1912.451416015625,111.57952880859376,-352.941162109375,eta_4,0.0,36.044004880821326,4502.74853515625,1447.058837890625,-2456.469482421875,eta_3_bot,0.0,5.129741143111128,4811.4,1600.0,-2721.3,bot,0.0,6.753313466202673,4811.400000000001,1336.0,0.0,bot,0.0,18.27627592428677,4502.74853515625,1447.058837890625,-2456.469482421875,eta_y_bot_stresses
1,1,3142.857142857143,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,11.529602007737797,4502.74853515625,2589.915771484375,-1517.144287109375,eta_1,0.0,41.41361293721221,4502.74853515625,2589.915771484375,-2456.469482421875,eta_3_bot,0.0,5.523716213799391,4811.4,2742.857142857143,-2721.3,bot,0.0,6.262539758042349,4811.400000000001,452.5714285714287,0.0,bot,0.0,20.96091583731481,4502.74853515625,2589.915771484375,-2456.469482421875,eta_y_bot_stresses
2,2,4285.714285714286,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,3.4821690474886533,4502.74853515625,505.6535339355469,-352.941162109375,eta_4,0.0,16.245239918394944,4502.74853515625,1421.881103515625,-352.941162109375,eta_3_top,0.0,3.2212075601308947,4811.400000000001,320.57142857142867,0.0,bot,0.0,4.0109786019802085,4811.400000000001,3565.142857142858,0.0,bot,0.0,8.382417322902228,4502.74853515625,1421.881103515625,-352.941162109375,eta_y_top_stresses
3,3,5428.571428571428,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,2.11195808191307,4502.74853515625,175.33920288085938,-352.941162109375,eta_4,0.0,7.307223640707288,4502.74853515625,2333.633544921875,-352.941162109375,eta_3_top,0.0,1.6319646266752754,4811.4,414.8571428571428,0.0,bot,0.0,1.6319646266752754,4811.4,414.8571428571428,0.0,bot,0.0,3.92218797144678,4502.74853515625,2333.633544921875,-352.941162109375,eta_y_top_stresses
4,4,6571.428571428572,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.4838563600960015,4502.74853515625,215.18914794921875,-352.941162109375,eta_4,0.0,4.662181074467241,4502.74853515625,2864.00390625,-352.941162109375,eta_3_top,0.0,1.1316600358546374,4811.4,509.1428571428571,0.0,bot,0.0,1.1316600358546374,4811.4,509.1428571428571,0.0,bot,0.0,2.611225889848493,4502.74853515625,2864.00390625,-352.941162109375,eta_y_top_stresses
5,5,7714.285714285715,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.040710093211166,4502.74853515625,170.02586364746094,-352.941162109375,eta_4,0.0,4.702073076875443,4502.74853515625,3417.84521484375,-352.941162109375,eta_3_top,0.0,0.9226895672149394,4811.4000000000015,402.28571428571433,0.0,bot,2.0,0.9226895672149394,4811.4000000000015,402.28571428571433,0.0,bot,2.0,2.630836074245152,4502.74853515625,3417.84521484375,-352.941162109375,eta_y_top_stresses
6,6,8857.142857142857,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.0218926602373577,4502.74853515625,196.59255981445312,-352.941162109375,eta_4,0.0,3.6180450812271,4502.74853515625,3951.883056640625,-352.941162109375,eta_3_top,0.0,0.764525798670761,4811.4000000000015,7992.0,0.0,bot,6.0,0.764525798670761,4811.4000000000015,7992.0,0.0,bot,6.0,2.0991188151476154,4502.74853515625,3951.883056640625,-352.941162109375,eta_y_top_stresses
7,7,10000.0,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,0.999858829269558,4502.74853515625,223.1590576171875,-352.941162109375,eta_4,24.0,1.6676142939900198,4502.74853515625,4485.92138671875,-352.941162109375,eta_3_top,0.0,0.3227903746307066,4811.4000000000015,9072.0,0.0,bot,15.0,0.3227903746307066,4811.4000000000015,9072.0,0.0,bot,15.0,1.1908995275809036,4502.74853515625,4485.92138671875,-352.941162109375,eta_y_top_stresses
8,8,11142.857142857143,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,
9,9,12285.714285714286,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,
