,L,b1,t_p,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,fsy,s,beta,ecu,fsu,b2,alpha_l,l_sec,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,withMPCs,offsetmodeling,mesh_size_factor,oo,uu,d3_plate,d2_walls,d3_walls
0,10237.2682138948,14834.399248359092,860.8784540490898,435.3538553296494,2202.427476408155,12.801724410781022,27.4650364828072,14.536861226149245,332.0075710756747,18.96311129203395,16.690677168653206,458.3634568331738,47.36437074998143,325.16747638461527,0.16415729966065096,1.034878027147002,-0.002,351.1808744953845,14834.399248359092,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12
1,2020.8664206646508,11347.52105761031,479.49151723224315,1056.9790780652534,4216.925774416563,26.293296815127132,23.09313352577503,23.10890785192736,423.0110289069764,27.63833999555116,16.55495024936789,412.3457675002702,34.10454038172484,317.69025740427617,0.5236383449531922,-39.583960758133145,-0.002,343.1054779966183,11347.52105761031,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12
2,2247.6148385766714,13155.53425836395,865.1216997186589,659.960578564592,4404.499812647708,19.553470725554867,13.311272876843454,24.36040129778071,449.05670465601446,16.10865008411044,12.542290756122586,231.04705666309516,42.52319866147816,408.92929510842094,0.45819369524066944,14.988158350631537,-0.002,441.64363871709463,13155.53425836395,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12
3,17834.490999038317,12505.083390952286,237.1316920400235,204.7524829125385,2489.837450946229,12.932457008594405,10.161537195661609,23.390085560771162,151.4239072145024,17.357371961021922,16.123515630608612,350.9203987369483,37.43754016737848,426.99246929626906,0.3971272001094269,48.14893203075644,-0.002,461.15186683997064,12505.083390952286,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12
4,12158.68357946326,19690.110852143698,711.7775024213918,812.9859562974963,4958.360228606493,10.088765752922694,12.246356594336456,29.77488361543557,126.37968159842674,14.243465740647771,16.819460675709102,274.8584386753894,47.63428512244266,433.45711299184404,0.7341105576764119,5.514079957345629,-0.002,468.1336820311916,19690.110852143698,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12
5,17689.550034368993,15117.149685914752,894.1509282730588,846.9538503186977,4539.089351803817,27.855203057164616,19.699837585786597,26.586294388099308,369.5607201600529,13.648346886639368,21.89104384531776,422.6901559358744,31.359287770128887,447.8783936216135,0.5634725409598057,26.122378188689453,-0.002,483.7086651113426,15117.149685914752,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12
6,10174.265418783438,19337.396281065907,257.24396766262123,1112.7657663613518,2221.4786292200974,23.40325784067628,17.460086271205107,18.09323416504177,314.02074090363385,21.34888243096855,10.238866727758806,207.62496610232,28.305848006836897,381.1589475386622,0.46460093722646933,-26.90809977553409,-0.002,411.6516633417552,19337.396281065907,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12
7,13758.751719423153,18231.08257338852,696.2754654568437,1194.129464593129,4041.6006910281794,11.107549281132677,21.407627119052023,11.118381271604093,146.2661134789672,19.776408906372875,27.363573342179354,437.5956475601593,41.4761930266754,386.5262254617479,0.3952311005582747,14.096049843771851,-0.002,417.4483234986878,18231.08257338852,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12
8,11799.252290564678,14794.793916818178,244.25416728864693,1027.9905166898232,3775.9787403674864,27.198050510716996,11.03205667177935,14.259701476500108,222.26435625697377,24.918722054996234,19.83273651799831,201.29819328423616,25.160477763540754,417.9230157593754,0.27097929351114663,47.07218607586289,-0.002,451.35685702012546,14794.793916818178,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12
9,15840.7626966126,12110.852346471871,1131.3374574275604,399.72163683673506,4032.904924974949,28.152355535861783,14.68532932103209,11.944594719810983,116.2109543777975,26.890398429399,15.41511542115619,111.08641860166288,26.37923650088154,342.2577467889063,0.44668777379694813,4.311716370417727,-0.002,369.6383665320188,12110.852346471871,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12
10,7807.450824247625,16141.82374086046,687.9700227529012,845.1554482926381,2729.811729911722,27.983349923387465,13.375309296044735,16.756759719605707,297.88010208716514,12.521385541239741,18.342254015969658,218.678938806916,34.6898274198455,344.9834619289504,0.8634101271436718,9.022134516381797,-0.002,372.58213888326645,16141.82374086046,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12
11,11630.498801091744,13076.193051959985,725.3934612454432,930.4381549763928,3451.0896055612247,18.445934453278692,17.20245460801609,18.32352319447888,123.76538629114916,29.67807501038665,23.350411010766077,287.1640883096169,41.11680220904344,374.8017462006527,0.8006094514321858,26.399969617906407,-0.002,404.78588589670494,13076.193051959985,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12
12,5645.289557369508,9293.386547394519,889.0365222864826,955.7244492423881,2772.7083000026378,23.587316808442274,15.816211030060375,26.882945498532436,308.758793638892,14.091975861208343,13.349934225034401,357.0154767683167,48.18595797871552,355.8810384101508,0.8348920138854191,-46.04439801707114,-0.002,384.3515214829629,9293.386547394519,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12
