,t_p,L,b1,t_w,h_w,d1_plate,d4_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,fsy,fsu_fac,s,beta,ecu,fsu,b2,alpha_l,l_sec,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,withMPCs,offsetmodeling,mesh_size_factor,oo,uu,d2_plate,d3_plate,d2_walls,d3_walls,d1_plate_s1,d2_plate_s1,d3_plate_s1,d4_plate_s1,s1_plate_s1,s2_plate_s1,s3_plate_s1,s4_plate_s1,d1_walls_s1,d2_walls_s1,d3_walls_s1,d4_walls_s1,s1_walls_s1,s2_walls_s1,s3_walls_s1,s4_walls_s1,d1_plate_s2,d2_plate_s2,d3_plate_s2,d4_plate_s2,s1_plate_s2,s2_plate_s2,s3_plate_s2,s4_plate_s2,d1_walls_s2,d2_walls_s2,d3_walls_s2,d4_walls_s2,s1_walls_s2,s2_walls_s2,s3_walls_s2,s4_walls_s2,d1_plate_s3,d2_plate_s3,d3_plate_s3,d4_plate_s3,s1_plate_s3,s2_plate_s3,s3_plate_s3,s4_plate_s3,d1_walls_s3,d2_walls_s3,d3_walls_s3,d4_walls_s3,s1_walls_s3,s2_walls_s3,s3_walls_s3,s4_walls_s3,d1_plate_s4,d2_plate_s4,d3_plate_s4,d4_plate_s4,s1_plate_s4,s2_plate_s4,s3_plate_s4,s4_plate_s4,d1_walls_s4,d2_walls_s4,d3_walls_s4,d4_walls_s4,s1_walls_s4,s2_walls_s4,s3_walls_s4,s4_walls_s4,d1_plate_s5,d2_plate_s5,d3_plate_s5,d4_plate_s5,s1_plate_s5,s2_plate_s5,s3_plate_s5,s4_plate_s5,d1_walls_s5,d2_walls_s5,d3_walls_s5,d4_walls_s5,s1_walls_s5,s2_walls_s5,s3_walls_s5,s4_walls_s5,d1_plate_s6,d2_plate_s6,d3_plate_s6,d4_plate_s6,s1_plate_s6,s2_plate_s6,s3_plate_s6,s4_plate_s6,d1_walls_s6,d2_walls_s6,d3_walls_s6,d4_walls_s6,s1_walls_s6,s2_walls_s6,s3_walls_s6,s4_walls_s6,d1_plate_s7,d2_plate_s7,d3_plate_s7,d4_plate_s7,s1_plate_s7,s2_plate_s7,s3_plate_s7,s4_plate_s7,d1_walls_s7,d2_walls_s7,d3_walls_s7,d4_walls_s7,s1_walls_s7,s2_walls_s7,s3_walls_s7,s4_walls_s7,d1_plate_s8,d2_plate_s8,d3_plate_s8,d4_plate_s8,s1_plate_s8,s2_plate_s8,s3_plate_s8,s4_plate_s8,d1_walls_s8,d2_walls_s8,d3_walls_s8,d4_walls_s8,s1_walls_s8,s2_walls_s8,s3_walls_s8,s4_walls_s8,d1_plate_s9,d2_plate_s9,d3_plate_s9,d4_plate_s9,s1_plate_s9,s2_plate_s9,s3_plate_s9,s4_plate_s9,d1_walls_s9,d2_walls_s9,d3_walls_s9,d4_walls_s9,s1_walls_s9,s2_walls_s9,s3_walls_s9,s4_walls_s9
0,200.0,7000,9720,400,2580,24,24,200,14,24,200,12.8,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200
1,266.6666666666667,7000,9720,400,2580,24,24,200,14,24,200,12.8,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200
2,333.33333333333337,7000,9720,400,2580,24,24,200,14,24,200,12.8,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200
3,400.0,7000,9720,400,2580,24,24,200,14,24,200,12.8,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200
4,466.6666666666667,7000,9720,400,2580,24,24,200,14,24,200,12.8,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200
5,533.3333333333334,7000,9720,400,2580,24,24,200,14,24,200,12.8,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200
6,600.0,7000,9720,400,2580,24,24,200,14,24,200,12.8,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200
7,666.6666666666667,7000,9720,400,2580,24,24,200,14,24,200,12.8,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200
8,733.3333333333334,7000,9720,400,2580,24,24,200,14,24,200,12.8,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200
9,800.0,7000,9720,400,2580,24,24,200,14,24,200,12.8,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200,24,12,12,24,200,200,200,200,14,12,12,24,200,200,200,200
