,ID,h_G,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,300.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0179197583231916,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,4.466694677059481,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.438010972868858,9536.4,178.20000000000005,0.0,bot,13,0.8775586711077648,9536.4,5221.8,0.0,bot,1,2.5172843567015435,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
1,1,385.7142857142857,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0200622183544068,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,4.613869909899941,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.4818471250327571,9536.4,178.20000000000005,0.0,bot,13,0.9498068655147872,9536.4,5221.8,0.0,bot,1,2.58903206103076,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
2,2,471.4285714285714,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0220313497794904,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,4.757473068599726,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.5248088229152972,9536.4,178.20000000000005,0.0,bot,13,1.0107081372458508,9536.4,5221.8,0.0,bot,0,2.659311945910708,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
3,3,557.1428571428571,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0239485824345125,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,4.9057633475150855,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.5664031337702398,9536.4,178.20000000000005,0.0,bot,13,1.057835175305181,9536.4,5221.8,0.0,bot,0,2.7321342096160497,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
4,4,642.8571428571429,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0255882285766402,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,5.027268437621783,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.6069943469825239,9536.4,178.20000000000005,0.0,bot,13,1.1139604988050436,9536.4,5221.8,0.0,bot,0,2.7918079614851057,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
5,5,728.5714285714286,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.016535519735456,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,4.333051569507292,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.4304815019290804,9536.4,178.20000000000005,0.0,bot,16,0.9257371127789644,9536.4,5221.8,0.0,bot,1,2.451195811692494,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
6,6,814.2857142857142,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.017558069872762,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,4.38246820396897,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.4262814694821882,9536.4,178.20000000000005,0.0,bot,16,0.9662402422126204,9536.4,5221.8,0.0,bot,1,2.4753190891854056,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
7,7,900.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0008462849501538,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.285404723923981,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.2335223043330804,9536.4,178.20000000000005,0.0,bot,24,0.4236429592405983,9536.4,5221.8,0.0,bot,6,1.943685785285024,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
8,8,985.7142857142856,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0024464017629546,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.375573352573069,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.2510194199603663,9536.4,178.20000000000005,0.0,bot,24,0.4576442103551358,9536.4,5221.8,0.0,bot,6,1.9866773627465664,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
9,9,1071.428571428571,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.003899124539313,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.4555470921943163,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.2687839773166708,9536.4,178.20000000000005,0.0,bot,23,0.4944965574733299,9536.4,5221.8,0.0,bot,5,2.0245072262481374,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
