,h_G,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu
0,300.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5e-06,2500,0.22499999999999998,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94
1,385.7142857142857,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5e-06,2500,0.22499999999999998,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94
2,471.42857142857144,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5e-06,2500,0.22499999999999998,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94
3,557.1428571428571,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5e-06,2500,0.22499999999999998,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94
4,642.8571428571429,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5e-06,2500,0.22499999999999998,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94
5,728.5714285714286,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5e-06,2500,0.22499999999999998,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94
6,814.2857142857142,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5e-06,2500,0.22499999999999998,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94
7,900.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5e-06,2500,0.22499999999999998,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94
8,985.7142857142857,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5e-06,2500,0.22499999999999998,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94
9,1071.4285714285713,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5e-06,2500,0.22499999999999998,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94
10,1157.142857142857,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5e-06,2500,0.22499999999999998,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94
11,1242.8571428571427,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5e-06,2500,0.22499999999999998,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94
12,1328.5714285714284,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5e-06,2500,0.22499999999999998,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94
13,1414.2857142857142,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5e-06,2500,0.22499999999999998,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94
14,1500.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,2e-05,30,6.5e-06,2500,0.22499999999999998,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94
