,ID,h_w,L,b1,t_p,t_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,2000.0,5800,9720,400,400,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0037418173851322,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.300222802081461,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.2599611106502512,9536.4,178.20000000000005,0.0,bot,24,0.4476956596356375,9536.4,5221.8,0.0,bot,6,1.949971342329792,9642.4013671875,75.3161849975586,-352.941162109375,eta_y_bot_stresses
1,1,2214.285714285714,5800,9720,400,400,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0032257399636249,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.32662501137606,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.2566609327475724,9536.4,178.20000000000005,0.0,bot,24,0.450112296794078,9536.4,5221.8,0.0,bot,6,1.9628396672575652,9642.4013671875,75.3161849975586,-352.941162109375,eta_y_bot_stresses
2,2,2428.5714285714284,5800,9720,400,400,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0030348465850154,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.364359080112991,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.2560692020193262,9536.4,178.20000000000005,0.0,bot,24,0.454993275090876,9536.4,5221.8,0.0,bot,6,1.9809232685455789,9642.4013671875,75.3161849975586,-352.941162109375,eta_y_bot_stresses
3,3,2642.857142857143,5800,9720,400,400,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0028336949299006,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.382760976975588,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.2547691967098973,9536.4,178.20000000000005,0.0,bot,24,0.4592372457258949,9536.4,5221.8,0.0,bot,6,1.9900131184381555,9642.4013671875,75.3161849975586,-352.941162109375,eta_y_bot_stresses
4,4,2857.142857142857,5800,9720,400,400,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0026398601898048,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.3929639472123467,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.2535126380895265,9536.4,178.20000000000005,0.0,bot,24,0.4655126890042981,9536.4,5221.8,0.0,bot,6,1.995063770093474,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
5,5,3071.428571428572,5800,9720,400,400,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0023853727204064,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.394878157725106,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.2519803517380689,9536.4,178.20000000000005,0.0,bot,24,0.4737605911238148,9536.4,5221.8,0.0,bot,6,1.995479727353405,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
6,6,3285.714285714286,5800,9720,400,400,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.00199338184006,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.382528865959185,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.2493136540120317,9536.4,178.20000000000005,0.0,bot,23,0.4857966246310063,9536.4,5221.8,0.0,bot,5,1.9892357676568249,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
7,7,3500.0,5800,9720,400,400,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0013599917648155,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.3504022188490423,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.2451504088631362,9536.4,178.20000000000005,0.0,bot,24,0.5028002824865593,9536.4,5221.8,0.0,bot,5,1.9734750358779296,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
8,8,3714.285714285714,5800,9720,400,400,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0003936592063447,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.296484101010952,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.2390019822626045,9536.4,178.20000000000005,0.0,bot,25,0.5262710558627326,9536.4,5221.8,0.0,bot,5,1.9469914066662408,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
9,9,3928.571428571429,5800,9720,400,400,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,0.9999762313456364,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,6,3.208816277526245,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.2296927495250915,9536.4,178.20000000000005,0.0,bot,25,0.5590106561563072,9536.4,5221.8,0.0,bot,4,1.9045029520752632,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
