,ID,t_p,L,b1,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced
0,0,200.0,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,
1,1,271.42857142857144,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,0.998640855780878,9666.2783203125,200.77381896972656,-224.22360229492188,eta_4,296.0,0.9912212887798088,9666.2783203125,53.79718399047852,-224.22360229492188,eta_3_bot,2.0,0.0858933785578518,9592.89230769231,127.28571428571428,0.0,bot,74.0,0.9972591422914996,9666.2783203125,200.77381896972656,-224.22360229492188,eta_y_bot_stresses,0.1295152601584496,9592.89230769231,5272.714285714286,0.0,bot,37.0
2,2,342.8571428571429,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,0.999758841835102,9650.1611328125,234.23651123046875,-295.5664978027344,eta_4,22.0,2.42321286112388,9650.1611328125,62.763484954833984,-295.5664978027344,eta_3_bot,0.0,0.190318650825662,9554.76,148.5,0.0,bot,43.0,1.5307938971679451,9650.1611328125,62.763484954833984,-295.5664978027344,eta_y_bot_stresses,0.3203015600458817,9554.76,5251.5,0.0,bot,18.0
3,3,414.2857142857143,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0069687442427977,9642.4013671875,281.0838317871094,-365.5462036132813,eta_4,0.0,3.704492892785704,9642.4013671875,75.3161849975586,-365.5462036132813,eta_3_bot,0.0,0.2937170560024263,9536.4,178.20000000000005,0.0,bot,23.0,2.1457331908176656,9642.4013671875,281.0838317871094,-365.5462036132813,eta_y_bot_stresses,0.5490785503411347,9536.4,5221.8,0.0,bot,5.0
4,4,485.7142857142857,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.0356200320767432,9642.4013671875,281.0838317871094,-442.8571472167969,eta_4,0.0,5.220215997653012,9642.4013671875,152.94117736816406,-726.890869140625,eta_3_bot,0.0,0.6685278742644022,9536.4,178.20000000000005,0.0,bot,6.0,2.886611588252075,9642.4013671875,152.94117736816406,-726.890869140625,eta_y_bot_stresses,1.095156299987588,9536.4,5221.8,0.0,bot,0.0
5,5,557.1428571428571,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.2587472834186462,9642.4013671875,281.0838317871094,-507.9831848144531,eta_4,0.0,5.66646550253117,9642.4013671875,152.94117736816406,-798.3198852539062,eta_3_bot,0.0,0.8754046873782083,9536.4,178.20000000000005,0.0,bot,2.0,3.1074276970129198,9642.4013671875,152.94117736816406,-798.3198852539062,eta_y_bot_stresses,1.2363531590627397,9536.4,5221.8,0.0,bot,0.0
6,6,628.5714285714286,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.8638526725551023,9642.4013671875,2226.798583984375,-573.1092529296875,eta_1,0.0,5.8028889804815575,9642.4013671875,2806.00146484375,-573.1092529296875,eta_3_top,0.0,0.2611779155983487,9536.4,178.20000000000005,0.0,bot,54.0,3.1751933121176195,9642.4013671875,2593.99853515625,-573.1092529296875,eta_y_top_stresses,0.4187940312757959,9536.4,5221.8,0.0,bot,27.0
7,7,700.0,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.9748418443746425,9642.4013671875,281.0838317871094,-638.2352905273438,eta_4,0.0,7.150647744776538,9642.4013671875,152.94117736816406,-941.1768798828124,eta_3_bot,0.0,1.7008714462816652,9536.4,178.20000000000005,0.0,bot,0.0,3.844392996464829,9642.4013671875,152.94117736816406,-941.1768798828124,eta_y_bot_stresses,2.388209461744725,9536.4,5221.8,0.0,bot,0.0
8,8,771.4285714285714,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,2.4346429470832143,9430.3984375,281.0838317871094,-726.0504150390625,eta_4,0.0,7.844232440348793,9642.4013671875,152.94117736816406,-836.0521240234375,eta_3_bot,0.0,2.054869281998488,9536.4,178.20000000000005,0.0,bot,0.0,4.1891469525577145,9642.4013671875,152.94117736816406,-1012.6058349609376,eta_y_bot_stresses,2.8073093706108576,9536.4,5221.8,0.0,bot,0.0
9,9,842.8571428571429,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,2.86715966955993,9275.201171875,281.0838317871094,-793.2772827148438,eta_4,0.0,8.61532341163638,9642.4013671875,152.94117736816406,-1084.0338134765625,eta_3_bot,0.0,2.4637422508722127,9536.4,178.20000000000005,0.0,bot,0.0,4.573078772080549,9642.4013671875,152.94117736816406,-1084.0338134765625,eta_y_bot_stresses,3.3342985294176417,9536.4,5221.8,0.0,bot,0.0
10,10,914.2857142857144,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,3.2956501878712534,9642.4013671875,2806.00146484375,-860.5042114257812,eta_1,0.0,13.383527800926688,9642.4013671875,2593.99853515625,-860.5042114257812,eta_3_top,0.0,0.5018731699192299,9536.4,178.20000000000005,0.0,bot,27.0,6.951619851776013,9642.4013671875,2593.99853515625,-860.5042114257812,eta_y_top_stresses,1.1711127310487657,9536.4,5221.8,0.0,bot,0.0
11,11,985.7142857142858,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,3.387054662722808,9642.4013671875,2226.798583984375,-927.7310791015624,eta_1,0.0,14.245844841003802,9642.4013671875,2226.798583984375,-927.7310791015624,eta_3_top,0.0,0.4958764423452559,9536.4,178.20000000000005,0.0,bot,27.0,7.382163430322865,9642.4013671875,2438.801513671875,-927.7310791015624,eta_y_top_stresses,1.2627591146299406,9536.4,5221.8,0.0,bot,0.0
12,12,1057.142857142857,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,3.355694479679406,9642.4013671875,2226.798583984375,-994.9580078125,eta_1,0.0,14.895323194017722,9275.201171875,2438.801513671875,-994.9580078125,eta_3_top,0.0,0.4716335274630084,9536.4,178.20000000000005,0.0,bot,27.0,7.706477522076212,9275.201171875,2438.801513671875,-994.9580078125,eta_y_top_stresses,1.17908734988651,9536.4,5221.8,0.0,bot,0.0
