,ID,t_p,L,b1,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,200.0,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,0.9976707309619828,9603.6025390625,468.4730224609375,-152.94117736816406,eta_4,180,0.1804073859136168,9603.6025390625,2603.001953125,-152.94117736816406,eta_3_top,359,0.0689911750167007,9444.600000000002,297.00000000000006,0.0,bot,43,0.0689911750167007,9444.600000000002,297.00000000000006,0.0,bot,43,0.6865437452738272,9603.6025390625,2603.001953125,-152.94117736816406,eta_y_top_stresses
1,1,271.42857142857144,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,0.9993717478358872,9580.322265625,125.52696990966795,-224.22360229492188,eta_4,36,0.8142431445229077,9580.322265625,2876.669189453125,-224.22360229492188,eta_3_top,6,0.1380451660957214,9389.52,297.0000000000001,0.0,bot,24,0.2150284739281342,9389.52,5103.000000000001,0.0,bot,11,0.9754801094902588,9580.322265625,2523.330810546875,-224.22360229492188,eta_y_top_stresses
2,2,342.8571428571429,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.0284608224709293,9545.4033203125,188.2904510498047,-295.5664978027344,eta_4,0,2.9242917873073875,9545.4033203125,2506.003662109375,-295.5664978027344,eta_3_top,0,0.5697216086152747,9306.9,445.5,0.0,bot,8,0.5697216086152747,9306.9,445.5,0.0,bot,8,1.7637140610437727,9545.4033203125,2506.003662109375,-295.5664978027344,eta_y_top_stresses
3,3,414.2857142857143,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.2984540438096377,9487.2041015625,188.2904510498047,-365.5462036132813,eta_4,0,4.473361019257081,9487.2041015625,2506.003662109375,-365.5462036132813,eta_3_top,0,0.8991463171477668,9169.2,445.5,0.0,bot,1,0.8991463171477668,9169.2,445.5,0.0,bot,1,2.5181589617818907,9487.2041015625,2506.003662109375,-365.5462036132813,eta_y_top_stresses
4,4,485.7142857142857,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.841980098330916,9487.2041015625,188.2904510498047,-442.8571472167969,eta_4,0,6.428606538032438,9487.2041015625,2506.003662109375,-442.8571472167969,eta_3_top,0,1.3322795114400487,9169.2,445.5,0.0,bot,0,1.3322795114400487,9169.2,445.5,0.0,bot,0,3.485403337770361,9487.2041015625,2506.003662109375,-442.8571472167969,eta_y_top_stresses
5,5,557.1428571428571,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,2.3873837160646927,9487.2041015625,188.2904510498047,-507.9831848144531,eta_4,0,8.083624834138565,9487.2041015625,152.94117736816406,-1280.673583984375,eta_3_bot,0,1.758488773421972,9169.2,445.5,0.0,bot,0,1.758488773421972,9169.2,445.5,0.0,bot,0,4.308352060903064,9487.2041015625,152.94117736816406,-1280.673583984375,eta_y_bot_stresses
6,6,628.5714285714286,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,2.5264346359683514,9487.2041015625,1975.9962158203125,-573.1092529296875,eta_1,0,7.507915408573226,9487.2041015625,2506.003662109375,-573.1092529296875,eta_3_top,0,1.080819492078661,9169.2,445.5,0.0,bot,0,1.080819492078661,9169.2,445.5,0.0,bot,0,4.021870408793154,9487.2041015625,2506.003662109375,-573.1092529296875,eta_y_top_stresses
7,7,700.0,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,3.886648586487893,9487.2041015625,188.2904510498047,-638.2352905273438,eta_4,0,10.042521273077552,9487.2041015625,152.94117736816406,-1423.530517578125,eta_3_bot,0,2.8830918483114782,9169.2,445.5,0.0,bot,0,2.8830918483114782,9169.2,445.5,0.0,bot,0,5.285007804250143,9487.2041015625,152.94117736816406,-1423.530517578125,eta_y_bot_stresses
8,8,771.4285714285714,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,4.49097814893048,9487.2041015625,1975.9962158203125,-726.0504150390625,eta_1,0,11.218390061593055,9487.2041015625,152.94117736816406,-965.2984619140624,eta_3_bot,0,3.4307370759481213,9169.2,445.5,0.0,bot,0,3.4307370759481213,9169.2,445.5,0.0,bot,0,5.871213957634509,9487.2041015625,152.94117736816406,-1494.9595947265625,eta_y_bot_stresses
9,9,842.8571428571429,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,4.973490809219244,9487.2041015625,1975.9962158203125,-793.2772827148438,eta_1,0,12.373530550762249,9487.2041015625,152.94117736816406,-1036.7264404296875,eta_3_bot,0,3.948215023783465,9169.2,445.5,0.0,bot,0,3.948215023783465,9169.2,445.5,0.0,bot,0,6.447793413453202,9487.2041015625,152.94117736816406,-1036.7264404296875,eta_y_bot_stresses
