,ID,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s,beta,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,fsu,ecu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,2000.0,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,-0.002,5.015410080723141,4708.51611328125,55.78976440429688,-352.941162109375,eta_4,0.0,22.736412511540752,4914.28369140625,152.94117736816406,-2938.8232421875,eta_3_bot,0.0,4.154426425721108,4811.400000000001,1600.0,-3027.1,bot,0.0,8.674106696941491,4811.400000000001,396.0,0.0,bot,0.0,11.623829264086355,4914.28369140625,152.94117736816406,-2938.8232421875,eta_y_bot_stresses
1,1,3142.857142857143,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,-0.002,3.457036236591716,4708.51611328125,2504.902587890625,-352.941162109375,eta_4,0.0,20.368538411674653,4914.28369140625,2504.902587890625,-352.941162109375,eta_3_bot,0.0,3.2706271163435607,4811.400000000001,150.85714285714283,0.0,bot,0.0,4.67332427146871,4811.400000000001,2290.285714285714,0.0,bot,0.0,10.44064231112265,4914.28369140625,2504.902587890625,-352.941162109375,eta_y_bot_stresses
2,2,4285.714285714286,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,-0.002,2.2153570971171868,4708.51611328125,3817.969482421875,-352.941162109375,eta_4,0.0,12.598452834412225,4708.51611328125,1873.059326171875,-352.941162109375,eta_3_top,0.0,1.947195140280603,4811.400000000001,160.2857142857143,0.0,bot,0.0,3.693769686877484,4811.400000000001,480.8571428571429,0.0,bot,0.0,6.5595604881685805,4708.51611328125,1873.059326171875,-352.941162109375,eta_y_top_stresses
3,3,5428.571428571428,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,-0.002,1.154198640292255,4708.51611328125,70.1357650756836,-352.941162109375,eta_4,0.0,6.17707214941725,4708.51611328125,70.1357650756836,-352.941162109375,eta_3_bot,0.0,0.910417866643345,4811.400000000001,165.94285714285718,0.0,bot,5.0,2.287810027799126,5167.8,497.82857142857154,0.0,bot,0.0,3.360583444280094,4708.51611328125,70.1357650756836,-352.941162109375,eta_y_bot_stresses
4,4,6571.428571428572,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,-0.002,1.0190287919742875,4708.51611328125,71.72978973388672,-352.941162109375,eta_4,0.0,4.268887594463524,4708.51611328125,71.72978973388672,-352.941162109375,eta_3_bot,0.0,0.5839655641591508,4811.400000000001,169.71428571428572,0.0,bot,16.0,1.906983350794334,5880.6,509.1428571428572,0.0,bot,0.0,2.4176289525193453,4708.51611328125,71.72978973388672,-352.941162109375,eta_y_bot_stresses
5,5,7714.285714285715,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,-0.002,0.9995552560949926,4708.51611328125,72.86819458007812,-352.941162109375,eta_4,122.0,2.29111615400552,4708.51611328125,72.86819458007812,-352.941162109375,eta_3_bot,0.0,0.2291185813768469,4811.400000000001,172.40816326530611,0.0,bot,42.0,1.6881139209999665,5880.600000000001,517.2244897959184,0.0,bot,0.0,1.4653715844831314,4708.51611328125,72.86819458007812,-352.941162109375,eta_y_bot_stresses
6,6,8857.142857142857,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,-0.002,0.9991121800343966,4708.51611328125,84.25395965576172,-352.941162109375,eta_4,216.0,1.792771671570912,4708.51611328125,84.25395965576172,-352.941162109375,eta_3_bot,0.0,0.1422810889161847,4811.4000000000015,8257.795918367347,0.0,bot,50.0,0.1422810889161847,4811.4000000000015,8257.795918367347,0.0,bot,25.0,1.2430943872796467,4708.51611328125,84.25395965576172,-352.941162109375,eta_y_bot_stresses
7,7,10000.0,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,-0.002,0.9852811878892777,4708.51611328125,312.3153381347656,-352.941162109375,eta_4,959.0,0.1586100972953873,5777.71630859375,4695.30712890625,-352.941162109375,eta_3_top,891.0,0.0148462335028236,5167.800000000001,9402.0,0.0,bot,189.0,0.0148462335028236,5167.800000000001,9402.0,0.0,bot,129.0,0.6523543246794872,5777.71630859375,4695.30712890625,-352.941162109375,eta_y_top_stresses
8,8,11142.857142857143,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,-0.002,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
9,9,12285.714285714286,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,-0.002,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
