,ID,t_w,L,b1,t_p,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,ecu,s,beta,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,200.0,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.2955614849780712,4945.6142578125,39.052833557128906,-352.941162109375,eta_4,0.0,2.532072551652905,4945.6142578125,52.94117736816406,-438.7738952636719,eta_3_bot,0.0,1.0211249171944514,5188.764705882353,92.4,0.0,bot,0.0,1.1452451230005234,5000.082352941177,0.0,-491.74000000000007,bot,0.0,1.5775694981620887,4945.6142578125,52.94117736816406,-438.7738952636719,eta_y_bot_stresses
1,1,271.42857142857144,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
2,2,342.8571428571429,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0321546078535246,4743.615234375,63.42768096923828,-344.8275756835937,eta_4,0.0,5.1937350272556015,4743.615234375,2663.221435546875,-344.8275756835937,eta_3_top,0.0,0.7457720268517711,4651.02,150.07142857142856,0.0,bot,8.0,1.132753815059048,4651.02,5307.071428571428,0.0,bot,0.0,2.8735230703042967,4743.615234375,2484.6826171875,-344.8275756835937,eta_y_top_stresses
3,3,414.2857142857143,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0378399107695442,4708.51611328125,75.11690521240234,-352.941162109375,eta_4,0.0,5.363963688374441,4708.51611328125,75.11690521240234,-352.941162109375,eta_3_bot,0.0,0.7792805555931395,4811.400000000001,177.7285714285714,0.0,bot,7.0,1.3465103043973752,4811.4,5207.985714285714,0.0,bot,0.0,2.9577060490125167,4708.51611328125,75.11690521240234,-352.941162109375,eta_y_bot_stresses
4,4,485.7142857142857,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0357524984624755,4708.51611328125,74.12071990966797,-352.941162109375,eta_4,0.0,5.25524187878469,4708.51611328125,74.12071990966797,-352.941162109375,eta_3_bot,0.0,0.7695358116673031,4811.400000000001,175.37142857142862,0.0,bot,7.0,1.3650505688500167,4811.400000000001,5138.914285714285,0.0,bot,0.0,2.9039275831448306,4708.51611328125,74.12071990966797,-352.941162109375,eta_y_bot_stresses
5,5,557.1428571428571,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0366853061412633,4708.51611328125,73.1245346069336,-352.941162109375,eta_4,0.0,5.254810285987122,4708.51611328125,73.1245346069336,-352.941162109375,eta_3_bot,0.0,0.7795637840254018,4811.400000000001,173.01428571428573,0.0,bot,7.0,2.0931169312673914,5524.2,519.0428571428572,0.0,bot,0.0,2.903712867239288,4708.51611328125,73.1245346069336,-352.941162109375,eta_y_bot_stresses
6,6,628.5714285714286,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0386880571920434,4708.51611328125,72.12813568115234,-352.941162109375,eta_4,0.0,5.300614445240811,4708.51611328125,72.12813568115234,-352.941162109375,eta_3_bot,0.0,0.795010492110871,4811.400000000001,170.65714285714287,0.0,bot,7.0,2.0902284386842576,5167.800000000001,511.9714285714287,0.0,bot,0.0,2.92636442481948,4708.51611328125,72.12813568115234,-352.941162109375,eta_y_bot_stresses
7,7,700.0,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.197125873031147,4708.51611328125,71.13195037841797,-352.941162109375,eta_4,0.0,5.797647626721791,4708.51611328125,2303.3125,-352.941162109375,eta_3_top,0.0,0.9023382387516434,4811.400000000001,168.3,0.0,bot,5.0,3.2055724449652887,4811.400000000001,1178.1,0.0,top,0.0,3.1724200113434,4708.51611328125,2303.3125,-352.941162109375,eta_y_top_stresses
8,8,771.4285714285714,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0741706304664675,4708.51611328125,70.1357650756836,-352.941162109375,eta_4,0.0,5.474808775471459,4708.51611328125,70.1357650756836,-352.941162109375,eta_3_bot,0.0,0.8376680181896138,4811.400000000001,165.94285714285718,0.0,bot,5.0,3.022824782620808,4811.400000000001,4530.742857142857,0.0,bot,0.0,3.01254801798324,4708.51611328125,70.1357650756836,-352.941162109375,eta_y_bot_stresses
9,9,842.8571428571429,5800,9720,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,28,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.2272977664255798,4708.51611328125,258.0316467285156,-352.941162109375,eta_4,0.0,6.248620304315218,4708.51611328125,69.13936614990234,-352.941162109375,eta_3_bot,0.0,1.0176081471369511,4811.400000000001,163.5857142857143,0.0,bot,0.0,3.2918461097933345,4811.400000000001,4466.385714285714,0.0,bot,0.0,3.396070561252024,4708.51611328125,69.13936614990234,-352.941162109375,eta_y_bot_stresses
