,ID,d1_plate,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,ecu,s,beta,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,10.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,200,24,12,12,14,200,28,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0128525559676358,4708.51611328125,2226.798583984375,-360.0,eta_1,0,3.464322037601489,4708.51611328125,75.3161849975586,-360.0,eta_3_bot,0,0.543622146233502,4811.400000000001,178.20000000000005,0.0,bot,9,1.066517003574042,4811.400000000001,5221.8,0.0,bot,0,2.024347177584451,4708.51611328125,75.3161849975586,-360.0,eta_y_bot_stresses
1,1,11.428571428571429,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,200,24,12,12,14,200,28,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.017972126202025,4708.51611328125,75.3161849975586,-354.28570556640625,eta_4,0,3.697968627512601,4708.51611328125,75.3161849975586,-354.28570556640625,eta_3_bot,0,0.5618369876500262,4811.400000000001,178.20000000000005,0.0,bot,9,1.0947342617885905,4811.400000000001,5221.8,0.0,bot,0,2.1380899888523928,4708.51611328125,75.3161849975586,-354.28570556640625,eta_y_bot_stresses
2,2,12.857142857142858,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,200,24,12,12,14,200,28,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.020416164297658,4708.51611328125,75.3161849975586,-352.941162109375,eta_4,0,3.889761592704219,4914.28369140625,75.3161849975586,-352.941162109375,eta_3_bot,0,0.5940163338370675,4811.400000000001,178.20000000000005,0.0,bot,9,1.1454680628239229,4811.400000000001,5221.8,0.0,bot,0,2.231757859164192,4914.28369140625,75.3161849975586,-352.941162109375,eta_y_bot_stresses
3,3,14.285714285714285,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,200,24,12,12,14,200,28,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0229099380351665,4708.51611328125,75.3161849975586,-352.941162109375,eta_4,0,4.084892993415973,4708.51611328125,75.3161849975586,-352.941162109375,eta_3_bot,0,0.6288194587384587,4811.400000000001,178.20000000000005,0.0,bot,9,1.1985551427233907,4811.400000000001,5221.8,0.0,bot,0,2.32733393276507,4708.51611328125,75.3161849975586,-352.941162109375,eta_y_bot_stresses
4,4,15.714285714285715,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,200,24,12,12,14,200,28,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0252217015362286,4708.51611328125,75.3161849975586,-352.941162109375,eta_4,0,4.288618532340187,4708.51611328125,75.3161849975586,-352.941162109375,eta_3_bot,0,0.659077371552365,4811.400000000001,178.20000000000005,0.0,bot,9,1.2385056550620723,4811.400000000001,5221.8,0.0,bot,0,2.427322069993468,4708.51611328125,75.3161849975586,-352.941162109375,eta_y_bot_stresses
5,5,17.142857142857142,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,200,24,12,12,14,200,28,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0274631123854034,4708.51611328125,75.3161849975586,-352.941162109375,eta_4,0,4.490691268244389,4708.51611328125,75.3161849975586,-352.941162109375,eta_3_bot,0,0.6872582265323915,4811.400000000001,178.20000000000005,0.0,bot,9,1.2679913058346557,4811.400000000001,5221.8,0.0,bot,0,2.5266890681660588,4708.51611328125,75.3161849975586,-352.941162109375,eta_y_bot_stresses
6,6,18.57142857142857,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,200,24,12,12,14,200,28,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.029670381508981,4708.51611328125,75.3161849975586,-352.941162109375,eta_4,0,4.689107277519885,4708.51611328125,75.3161849975586,-352.941162109375,eta_3_bot,0,0.7131727834261706,4811.400000000001,178.20000000000005,0.0,bot,7,1.2881597995176712,4811.400000000001,5221.8,0.0,bot,0,2.6244141071797835,4708.51611328125,75.3161849975586,-352.941162109375,eta_y_bot_stresses
7,7,20.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,200,24,12,12,14,200,28,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0319087917447147,4708.51611328125,75.3161849975586,-352.941162109375,eta_4,0,4.885397507888001,4708.51611328125,75.3161849975586,-352.941162109375,eta_3_bot,0,0.7367900281748134,4811.400000000001,178.20000000000005,0.0,bot,7,1.3066314222651634,4811.400000000001,5221.8,0.0,bot,0,2.7212253723705024,4708.51611328125,75.3161849975586,-352.941162109375,eta_y_bot_stresses
8,8,21.42857142857143,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,200,24,12,12,14,200,28,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.0342376343719957,4708.51611328125,75.3161849975586,-352.941162109375,eta_4,0,5.076844127508659,4708.51611328125,75.3161849975586,-352.941162109375,eta_3_bot,0,0.7573831861427562,4811.400000000001,178.20000000000005,0.0,bot,7,1.3230417845994449,4811.400000000001,5221.8,0.0,bot,0,2.815756633323097,4708.51611328125,75.3161849975586,-352.941162109375,eta_y_bot_stresses
9,9,22.857142857142858,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,200,24,12,12,14,200,28,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,1.03648162947522,4708.51611328125,75.3161849975586,-352.941162109375,eta_4,0,5.251019817860358,4708.51611328125,75.3161849975586,-352.941162109375,eta_3_bot,0,0.7719174774357426,4811.400000000001,178.20000000000005,0.0,bot,7,1.3337118294927577,4811.400000000001,5221.8,0.0,bot,0,2.90184435423797,4708.51611328125,75.3161849975586,-352.941162109375,eta_y_bot_stresses
