,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses,ID
0,1.408633379387966,4626.208984375,2716.854248046875,-194.44444274902344,eta_1,0,2.105375222449353,4626.208984375,2383.145751953125,-194.44444274902344,eta_3_top,0,0.295898972191172,4811.4,0.0,-479.35,bot,19,0.295898972191172,4811.4,0.0,-479.35,bot,16,1.3805698176203685,4626.208984375,2716.854248046875,-194.44444274902344,eta_y_top_stresses,0
0,1.4157796133143778,4626.208984375,2716.854248046875,-194.44444274902344,eta_1,0,2.148834055902006,4626.208984375,2383.145751953125,-194.44444274902344,eta_3_top,0,0.2996261676700289,4811.4,0.0,-479.35,bot,19,0.2996261676700289,4811.4,0.0,-479.35,bot,16,1.4002468822624066,4626.208984375,2383.145751953125,-194.44444274902344,eta_y_top_stresses,1
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,2
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,3
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,4
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,5
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,6
0,1.4751325471461245,4626.208984375,2383.145751953125,-194.44444274902344,eta_1,0,2.5939379878014535,4626.208984375,2383.145751953125,-194.44444274902344,eta_3_top,0,0.34157830011778384,4811.4,0.0,-479.35,bot,17,0.34157830011778384,4811.4,0.0,-479.35,bot,14,1.6066889711119678,4626.208984375,2716.854248046875,-194.44444274902344,eta_y_top_stresses,7
0,1.4843422347356474,4626.208984375,2383.145751953125,-194.44444274902344,eta_1,0,2.670001424995895,4626.208984375,2383.145751953125,-194.44444274902344,eta_3_top,0,0.3489384794381867,4811.4,0.0,-479.35,bot,17,0.3489384794381867,4811.4,0.0,-479.35,bot,14,1.6426285949169668,4626.208984375,2716.854248046875,-194.44444274902344,eta_y_top_stresses,8
0,1.492944808317233,4626.208984375,2383.145751953125,-194.44444274902344,eta_1,0,2.7448646728273745,4626.208984375,2383.145751953125,-194.44444274902344,eta_3_top,0,0.3559452634360128,4811.4,0.0,-479.35,bot,17,0.3559452634360128,4811.4,0.0,-479.35,bot,14,1.678143171118589,4626.208984375,2716.854248046875,-194.44444274902344,eta_y_top_stresses,9
0,1.4983856198943222,4626.208984375,2383.145751953125,-194.44444274902344,eta_1,0,2.782712805087382,4626.208984375,2383.145751953125,-194.44444274902344,eta_3_top,0,0.35934670621572506,4811.4,0.0,-479.35,bot,17,0.35934670621572506,4811.4,0.0,-479.35,bot,14,1.6961432705153423,4626.208984375,2716.854248046875,-194.44444274902344,eta_y_top_stresses,10
0,1.5069410530821241,4626.208984375,2383.145751953125,-194.44444274902344,eta_1,0,2.856248504157303,4626.208984375,2383.145751953125,-194.44444274902344,eta_3_top,0,0.36489681107564736,4811.4,0.0,-479.35,bot,17,0.36489681107564736,4811.4,0.0,-479.35,bot,14,1.7311936130553571,4626.208984375,2716.854248046875,-194.44444274902344,eta_y_top_stresses,11
0,1.5147141032464317,4626.208984375,2383.145751953125,-194.44444274902344,eta_1,0,2.9286686770874426,4626.208984375,2383.145751953125,-194.44444274902344,eta_3_top,0,0.371647435346792,4811.4,0.0,-479.35,bot,17,0.371647435346792,4811.4,0.0,-479.35,bot,14,1.7658356756495828,4626.208984375,2716.854248046875,-194.44444274902344,eta_y_top_stresses,12
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,13
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,14
