,ID,fcc,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fsy,fsu_fac,esu,ecu,s,beta,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,25.0,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,30,300,30,30,30,30,200,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,407.94,1.9374746857841172,4626.208984375,2149.50390625,-194.44444274902344,eta_1,0,2.9951960009819016,4626.208984375,2149.50390625,-194.44444274902344,eta_3_top,0,0.6500899460502932,4811.4,0.0,-479.35,bot,9,0.6500899460502932,4811.4,0.0,-479.35,bot,9,1.7977004701469217,4626.208984375,2450.49609375,-194.44444274902344,eta_y_top_stresses
1,1,26.785714285714285,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,30,300,30,30,30,30,200,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,407.94,1.945573275256531,4626.208984375,2149.50390625,-194.44444274902344,eta_1,0,3.0569926497272752,4626.208984375,2149.50390625,-194.44444274902344,eta_3_top,0,0.6597979630923884,4811.4,0.0,-479.35,bot,9,0.6597979630923884,4811.4,0.0,-479.35,bot,9,1.8273885864831891,4626.208984375,2450.49609375,-194.44444274902344,eta_y_top_stresses
2,2,28.571428571428573,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,30,300,30,30,30,30,200,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,407.94,1.9606391060483384,4626.208984375,2149.50390625,-194.44444274902344,eta_1,0,3.17795532608003,4626.208984375,2149.50390625,-194.44444274902344,eta_3_top,0,0.6787708164604277,4811.4,0.0,-479.35,bot,8,0.6787708164604277,4811.4,0.0,-479.35,bot,8,1.885662027732504,4626.208984375,2450.49609375,-194.44444274902344,eta_y_top_stresses
3,3,30.357142857142858,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,30,300,30,30,30,30,200,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,407.94,1.9743328568699368,4626.208984375,2149.50390625,-194.44444274902344,eta_1,0,3.295736934500087,4626.208984375,2149.50390625,-194.44444274902344,eta_3_top,0,0.697020409236929,4811.4,0.0,-479.35,bot,7,0.697020409236929,4811.4,0.0,-479.35,bot,7,1.9425866141351544,4626.208984375,2450.49609375,-194.44444274902344,eta_y_top_stresses
4,4,32.142857142857146,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,30,300,30,30,30,30,200,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,407.94,1.9872689746859156,4626.208984375,2149.50390625,-194.44444274902344,eta_1,0,3.411521754623734,4626.208984375,2149.50390625,-194.44444274902344,eta_3_top,0,0.7146353391380914,4811.4,0.0,-479.35,bot,6,0.7146353391380914,4811.4,0.0,-479.35,bot,6,1.9987019480612809,4626.208984375,2450.49609375,-194.44444274902344,eta_y_top_stresses
5,5,33.92857142857143,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,30,300,30,30,30,30,200,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,407.94,1.9931475807788823,4626.208984375,2149.50390625,-194.44444274902344,eta_1,0,3.4681401429982803,4626.208984375,2149.50390625,-194.44444274902344,eta_3_top,0,0.7231863607518795,4811.4,0.0,-479.35,bot,6,0.7231863607518795,4811.4,0.0,-479.35,bot,6,2.0261922504481533,4626.208984375,2450.49609375,-194.44444274902344,eta_y_top_stresses
6,6,35.714285714285715,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,30,300,30,30,30,30,200,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,407.94,2.004001669428386,4626.208984375,2149.50390625,-194.44444274902344,eta_1,0,3.580009057200145,4626.208984375,2450.49609375,-194.44444274902344,eta_3_top,0,0.7397852111256665,4811.4,0.0,-479.35,bot,6,0.7397852111256665,4811.4,0.0,-479.35,bot,6,2.0805939493156624,4626.208984375,2450.49609375,-194.44444274902344,eta_y_top_stresses
7,7,37.5,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,30,300,30,30,30,30,200,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,407.94,2.0135081599721723,4626.208984375,2450.49609375,-194.44444274902344,eta_1,0,3.690636224772629,4626.208984375,2149.50390625,-194.44444274902344,eta_3_top,0,0.7559168428896312,4811.4,0.0,-479.35,bot,6,0.7559168428896312,4811.4,0.0,-479.35,bot,6,2.1345032992096136,4626.208984375,2149.50390625,-194.44444274902344,eta_y_top_stresses
8,8,39.285714285714285,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,30,300,30,30,30,30,200,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,407.94,2.022139776042833,4626.208984375,2450.49609375,-194.44444274902344,eta_1,0,3.799449713413597,4626.208984375,2149.50390625,-194.44444274902344,eta_3_top,0,0.7713883441620287,4811.4,0.0,-479.35,bot,6,0.7713883441620287,4811.4,0.0,-479.35,bot,6,2.1876179665521582,4626.208984375,2149.50390625,-194.44444274902344,eta_y_top_stresses
9,9,41.07142857142857,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,30,300,30,30,30,30,200,390,1.046,0.045,-0.002,0.5,0.0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,407.94,2.0298953719060218,4626.208984375,2450.49609375,-194.44444274902344,eta_1,0,3.90629441928842,4626.208984375,2149.50390625,-194.44444274902344,eta_3_top,0,0.7866639273421042,4811.4,0.0,-479.35,bot,6,0.7866639273421042,4811.4,0.0,-479.35,bot,6,2.239851898417445,4626.208984375,2149.50390625,-194.44444274902344,eta_y_top_stresses
