,ID,beta,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,ecu,s,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,-50.0,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
1,1,-42.85714285714285,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
2,2,-35.714285714285715,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
3,3,-28.57142857142857,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
4,4,-21.428571428571427,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
5,5,-14.285714285714285,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
6,6,-7.142857142857139,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
7,7,0.0,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
8,8,7.142857142857146,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
9,9,14.285714285714292,5000,9720,250,400,2780,90,0,0,30,30,30,30,30,30,300,30,30,30,30,200,25,390,1.046,0.045,-0.002,0.5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,407.94,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
