,d2_plate,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu
0,10.0,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94
1,11.428571428571429,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94
2,12.857142857142858,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94
3,14.285714285714285,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94
4,15.714285714285715,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94
5,17.142857142857142,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94
6,18.57142857142857,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94
7,20.0,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94
8,21.42857142857143,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94
9,22.857142857142858,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94
10,24.285714285714285,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94
11,25.714285714285715,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94
12,27.142857142857142,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94
13,28.571428571428573,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94
14,30.0,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94
