,ID,d2_plate,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,10.0,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94,4.257337572452726,2189.211669921875,2506.003662109375,-350.0,eta_2,0,8.359205372654985,2189.211669921875,1975.9962158203125,-350.0,eta_3_top,0,1.6640433246910296,2475.0,445.5,0.0,bot,0,4.451243963594472,2189.211669921875,1975.9962158203125,-350.0,eta_y_top_stresses
1,1,11.428571428571429,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94,5.030807967083581,2189.211669921875,2506.003662109375,-354.28570556640625,eta_2,0,8.662514552996601,2189.211669921875,1975.9962158203125,-354.28570556640625,eta_3_top,0,1.6922199340088175,2475.0,445.5,0.0,bot,0,4.601863403346922,2189.211669921875,1975.9962158203125,-354.28570556640625,eta_y_top_stresses
2,2,12.857142857142858,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94,5.832743034822657,2189.211669921875,2506.003662109375,-352.941162109375,eta_2,0,8.669718215737715,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.6781713449600195,2475.0,445.5,0.0,bot,0,4.6050647214309866,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses
3,3,14.285714285714285,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94,6.003770143999245,5159.21142578125,2506.003662109375,-352.941162109375,eta_3,0,8.731908881481223,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.6825101828961313,2475.0,445.5,0.0,bot,0,4.635742873531982,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses
4,4,15.714285714285715,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94,5.9983505969790185,5159.21142578125,2506.003662109375,-352.941162109375,eta_3,0,8.790179270880289,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.6866980648169831,2475.0,445.5,0.0,bot,0,4.66453695206637,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses
5,5,17.142857142857142,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94,5.991727044663178,5159.21142578125,2506.003662109375,-352.941162109375,eta_3,0,8.843877127084793,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.6907058828942607,2475.0,445.5,0.0,bot,0,4.691098505064306,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses
6,6,18.57142857142857,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94,5.988697782835281,5159.21142578125,2506.003662109375,-352.941162109375,eta_3,0,8.895587535700905,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.69462612356778,2475.0,445.5,0.0,bot,0,4.716714085272315,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses
7,7,20.0,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94,5.985224388264217,5159.21142578125,2506.003662109375,-352.941162109375,eta_3,0,8.942465006385804,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.698396650705784,2475.0,445.5,0.0,bot,0,4.7399344385222415,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses
8,8,21.42857142857143,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94,5.964796692696278,5159.21142578125,2506.003662109375,-352.941162109375,eta_3,0,8.938773583121407,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.694788397839587,2475.0,445.5,0.0,bot,0,4.738192333416184,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses
9,9,22.857142857142858,5800,15000,400,400,2780,90,0,0,30,30,30,12,30,200,30,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15000,0.33,0.33,-0.002,407.94,5.95884593226559,5159.21142578125,2506.003662109375,-352.941162109375,eta_3,0,8.979968289702883,2189.211669921875,1975.9962158203125,-352.941162109375,eta_3_top,0,1.6979822721647613,2475.0,445.5,0.0,bot,0,4.758615652624477,2189.211669921875,1975.9962158203125,-352.941162109375,eta_y_top_stresses
