,ID,s_plate,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,100.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,2.3998303342608325,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,4.610106698485053,9642.4013671875,152.94117736816406,-641.1768798828125,eta_3_bot,0,0.6546052295736832,9536.4,178.20000000000005,0.0,bot,7,2.585515948960417,9642.4013671875,152.94117736816406,-641.1768798828125,eta_y_bot_stresses
1,1,128.57142857142858,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.8524919840110503,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,4.461831425375107,9642.4013671875,2806.00146484375,-352.941162109375,eta_3_top,0,0.5660215004895995,9536.4,178.20000000000005,0.0,bot,14,2.512522509000482,9642.4013671875,2593.99853515625,-352.941162109375,eta_y_top_stresses
2,2,157.14285714285714,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.809180758651749,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,4.042706931518541,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.4125250417744125,9536.4,178.20000000000005,0.0,bot,17,2.307556661860212,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
3,3,185.7142857142857,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.7849796803403368,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.5825383465896605,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.293816737408902,9536.4,178.20000000000005,0.0,bot,22,2.0853730481438646,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
4,4,214.28571428571428,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.76892584414562,9642.4013671875,281.0838317871094,-352.941162109375,eta_4,0,3.2311584569915994,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.2246894999942035,9536.4,178.20000000000005,0.0,bot,27,1.918617444409236,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
5,5,242.8571428571429,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.7685081630511372,9642.4013671875,75.3161849975586,-352.941162109375,eta_4,0,2.936009574403544,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.1835618915075199,9536.4,178.20000000000005,0.0,bot,31,1.7767811225720658,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
6,6,271.42857142857144,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.7681252631901596,9642.4013671875,75.3161849975586,-352.941162109375,eta_4,0,2.69198739582474,9642.4013671875,75.3161849975586,-352.941162109375,eta_3_bot,0,0.157280158237786,9536.4,178.20000000000005,0.0,bot,46,1.661263294413727,9642.4013671875,281.0838317871094,-352.941162109375,eta_y_bot_stresses
7,7,300.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.7676858418411117,9642.4013671875,75.3161849975586,-352.941162109375,eta_4,0,2.193237320042741,9642.4013671875,2226.798583984375,-352.941162109375,eta_3_top,0,0.133718014028603,9536.4,178.20000000000005,0.0,bot,53,1.4219295846149955,9642.4013671875,2438.801513671875,-352.941162109375,eta_y_top_stresses
8,8,328.57142857142856,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.7671030216891237,9642.4013671875,75.3161849975586,-352.941162109375,eta_4,0,1.7919821626531385,9642.4013671875,2226.798583984375,-352.941162109375,eta_3_top,0,0.1084109903887944,9536.4,178.20000000000005,0.0,bot,54,1.2438225071077884,9642.4013671875,2438.801513671875,-352.941162109375,eta_y_top_stresses
9,9,357.1428571428572,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.7663274954761785,9642.4013671875,75.3161849975586,-352.941162109375,eta_4,0,1.427952964300821,9642.4013671875,2226.798583984375,-352.941162109375,eta_3_top,0,0.0841500219513083,9536.4,178.20000000000005,0.0,bot,54,1.099614424713648,9642.4013671875,2438.801513671875,-352.941162109375,eta_y_top_stresses
10,10,385.7142857142857,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.765229403520843,9642.4013671875,75.3161849975586,-352.941162109375,eta_4,0,1.1768761116100808,9642.4013671875,2226.798583984375,-352.941162109375,eta_3_top,0,0.063758575442857,9536.4,178.20000000000005,0.0,bot,55,1.023454240920064,9642.4013671875,2226.798583984375,-352.941162109375,eta_y_top_stresses
11,11,414.2857142857143,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.7634542564362676,9642.4013671875,75.3161849975586,-352.941162109375,eta_4,0,0.8982595270350465,9642.4013671875,2226.798583984375,-352.941162109375,eta_3_top,10,0.0456628033256936,9536.4,178.20000000000005,0.0,bot,56,0.9865873390272932,9642.4013671875,2438.801513671875,-352.941162109375,eta_y_top_stresses
12,12,442.8571428571429,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.760126038756261,9642.4013671875,75.3161849975586,-352.941162109375,eta_4,0,0.621880049067361,9642.4013671875,2226.798583984375,-352.941162109375,eta_3_top,174,0.0297909738551582,9536.4,178.20000000000005,0.0,bot,60,0.9405354754907378,9642.4013671875,2226.798583984375,-352.941162109375,eta_y_top_stresses
13,13,471.4285714285714,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.751614378986947,9642.4013671875,75.3161849975586,-352.941162109375,eta_4,0,0.3621981111414421,7439.20166015625,2806.00146484375,-352.941162109375,eta_3_top,432,0.0162772732133756,9536.4,178.20000000000005,0.0,bot,90,0.8496057158599607,7439.20166015625,2593.99853515625,-352.941162109375,eta_y_top_stresses
14,14,500.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,1.747814783324457,9642.4013671875,75.3161849975586,-352.941162109375,eta_4,0,0.2929307460747152,7961.5986328125,2806.00146484375,-352.941162109375,eta_3_top,472,0.013627900524757,9536.4,178.20000000000005,0.0,bot,117,0.8046762371749124,7806.4013671875,2593.99853515625,-352.941162109375,eta_y_top_stresses
