,ID,s_plate,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,100.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,2.4857178509645768,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,5.196602909439203,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,1.1176890288967174,9169.2,445.5,0.0,bot,0,1.1176890288967174,9169.2,445.5,0.0,bot,0,2.8750593817447494,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
1,1,128.57142857142858,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.910606639400821,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.804160239818347,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,1.0172789030218223,9169.2,445.5,0.0,bot,0,1.0172789030218223,9169.2,445.5,0.0,bot,0,2.681208573313616,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
2,2,157.14285714285714,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.5550274152691828,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.509420984230621,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.9352367518872116,9169.2,445.5,0.0,bot,1,0.9352367518872116,9169.2,445.5,0.0,bot,1,2.535938153735237,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
3,3,185.7142857142857,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.313417184478593,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.275863007324711,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8668659092927528,9169.2,445.5,0.0,bot,1,0.8668659092927528,9169.2,445.5,0.0,bot,1,2.421066232265653,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
4,4,214.28571428571428,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.13815762973037,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.083980200389931,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8088282834812689,9169.2,445.5,0.0,bot,2,0.8088282834812689,9169.2,445.5,0.0,bot,2,2.326882862759432,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
5,5,242.8571428571429,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.037122175585537,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,3.918096826762128,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.7570514154617647,9169.2,445.5,0.0,bot,2,0.7570514154617647,9169.2,445.5,0.0,bot,2,2.2456237816483435,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
6,6,271.42857142857144,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.026747479761761,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,3.733223954398692,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.6933629998036602,9169.2,445.5,0.0,bot,3,0.6933629998036602,9169.2,445.5,0.0,bot,3,2.155273164695945,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
7,7,300.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.018681254301768,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,3.533864353085516,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.6258417223054427,9169.2,445.5,0.0,bot,3,0.6258417223054427,9169.2,445.5,0.0,bot,3,2.0581358686735025,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
8,8,328.57142857142856,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.011426057490293,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,3.3368665640413764,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.5637906199427731,9169.2,445.5,0.0,bot,4,0.5637906199427731,9169.2,445.5,0.0,bot,4,1.9624963881065656,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
9,9,357.1428571428572,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,1.00434645745192,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,3.1254850285762106,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.5072151831429833,9169.2,445.5,0.0,bot,7,0.5072151831429833,9169.2,445.5,0.0,bot,7,1.8603705615545985,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
