,ID,t_p,L,b1,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,fsy,fsu_fac,s,beta,ecu,fsu,b2,alpha_l,l_sec,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,withMPCs,offsetmodeling,mesh_size_factor,oo,uu,d3_plate,d2_walls,d3_walls,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
0,0,200.0,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,1.807091765306384,1490.82568359375,125.52696990966795,-152.94117736816406,eta_4_x,0,0.8493698440558936,1490.82568359375,125.52696990966795,-152.94117736816406,eta_3_bot,39
1,1,252.6315789473684,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,1.84410289006344,1418.609130859375,125.52696990966795,-206.6985626220703,eta_4_x,0,1.5014770769986556,1418.609130859375,125.52696990966795,-206.6985626220703,eta_3_bot,0
2,2,305.2631578947368,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,2.63449274064423,169.46141052246094,2876.669189453125,-258.2995910644531,eta_1_x,0,2.1836003985927235,632.4385986328125,2523.330810546875,-258.2995910644531,eta_3_top,0
3,3,357.89473684210526,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,3.0686540483072235,225.94854736328125,1975.9962158203125,-310.1754455566406,eta_1_x,0,2.7221747115490884,225.94854736328125,1975.9962158203125,-310.1754455566406,eta_3_top,0
4,4,410.5263157894736,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,3.609217448797688,225.94854736328125,1975.9962158203125,-362.2290954589844,eta_1_x,0,3.457206964815809,225.94854736328125,1975.9962158203125,-362.2290954589844,eta_3_top,0
5,5,463.1578947368421,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,4.105462520907564,225.94854736328125,1975.9962158203125,-408.6687316894531,eta_1_x,0,3.958763834089664,225.94854736328125,152.94117736816406,-1134.635986328125,eta_3_bot,0
6,6,515.7894736842105,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,4.76162230460448,225.94854736328125,2506.003662109375,-470.2786254882813,eta_1_x,0,4.459806192687939,225.94854736328125,152.94117736816406,-1187.2669677734375,eta_3_bot,0
7,7,568.421052631579,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,5.254797881595459,225.94854736328125,1975.9962158203125,-518.2662353515625,eta_1_x,0,4.892789057384764,225.94854736328125,152.94117736816406,-1239.8990478515625,eta_3_bot,0
8,8,621.0526315789473,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,5.818064525436259,225.94854736328125,2506.003662109375,-566.2538452148438,eta_1_x,0,5.290813872724315,225.94854736328125,5247.05859375,-800.9749755859375,eta_3_bot,0
9,9,673.6842105263158,5800,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,6.3919216680091,225.94854736328125,1975.9962158203125,-614.2415161132812,eta_1_x,0,5.745560908885763,225.94854736328125,5247.05859375,-1345.1619873046875,eta_3_bot,0
