,t_p,L,b1,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,fsy,fsu_fac,s,beta,ecu,fsu,b2,alpha_l,l_sec,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,withMPCs,offsetmodeling,mesh_size_factor,oo,uu,d3_plate,d2_walls,d3_walls
0,200.0,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.20000000000005,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12
1,252.6315789473684,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.20000000000005,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12
2,305.2631578947368,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.20000000000005,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12
3,357.89473684210526,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.20000000000005,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12
4,410.52631578947364,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.20000000000005,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12
5,463.1578947368421,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.20000000000005,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12
6,515.7894736842105,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.20000000000005,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12
7,568.421052631579,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.20000000000005,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12
8,621.0526315789473,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.20000000000005,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12
9,673.6842105263158,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.20000000000005,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12
