,ID,d1_walls,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,10.0,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.23720520743252,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,15.46767490985374,225.94854736328125,160.0,-1923.530517578125,eta_3_bot,0,4.525659857741701,534.5999999999999,0.0,-1658.7,bot,0,7.992727905809979,225.94854736328125,160.0,-1923.530517578125,eta_y_bot_stresses
1,1,11.428571428571429,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.25946136105838,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,15.71211777410275,225.94854736328125,154.2857208251953,-1923.530517578125,eta_3_bot,0,4.51411596052079,534.5999999999999,0.0,-1658.7,bot,0,8.114831520689089,225.94854736328125,154.2857208251953,-1923.530517578125,eta_y_bot_stresses
2,2,12.857142857142858,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.259657664392126,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,15.810061721368088,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.517083452318643,534.5999999999999,0.0,-1658.7,bot,0,8.163752445170635,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
3,3,14.285714285714285,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.267072496608082,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,15.92661389104718,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.515496244608429,534.5999999999999,0.0,-1658.7,bot,0,8.221984076352415,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
4,4,15.714285714285715,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.275380713561573,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,16.054050778564314,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.513944255240413,534.5999999999999,0.0,-1658.7,bot,0,8.285653783565303,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
5,5,17.142857142857142,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.282497867161478,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,16.192295037549233,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.514180908975872,534.5999999999999,0.0,-1658.7,bot,0,8.35473747991363,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
6,6,18.57142857142857,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.292048775747752,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,16.346169583286056,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.512366845227751,534.5999999999999,0.0,-1658.7,bot,0,8.431618082066395,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
7,7,20.0,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.30153647853912,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,16.511683657567612,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.510467112254025,534.5999999999999,0.0,-1658.7,bot,0,8.514317431709884,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
8,8,21.42857142857143,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.311511495849144,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,16.691015422001183,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.508932677833711,534.5999999999999,0.0,-1658.7,bot,0,8.60392351591164,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
9,9,22.857142857142858,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.320426763252692,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,16.88200623142884,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.508507889108671,534.5999999999999,0.0,-1658.7,bot,0,8.699360460863351,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
10,10,24.285714285714285,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.329863988215187,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,17.08630139388557,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.506912038115689,534.5999999999999,0.0,-1658.7,bot,0,8.801453667709922,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
11,11,25.714285714285715,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.340046910049482,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,17.30272175270453,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.506223289054192,534.5999999999999,0.0,-1658.7,bot,0,8.909607721607241,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
12,12,27.142857142857142,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.350533727034207,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,17.532824669015024,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.50488967123888,534.5999999999999,0.0,-1658.7,bot,0,9.02459535422746,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
13,13,28.571428571428573,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.360801822815628,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,17.776813469246456,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.503808929890011,534.5999999999999,0.0,-1658.7,bot,0,9.146528622811614,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
