,ID,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s,beta,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
0,0,2000.0,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,24.739956977904217,9487.2041015625,152.94117736816406,-1943.225830078125,eta_1_x,0.0,17.977324183890435,225.94854736328125,152.94117736816406,-2800.078125,eta_3_bot,0.0
1,1,2326.530612244898,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,25.9905957023679,9487.2041015625,152.94117736816406,-1943.225830078125,eta_1_x,0.0,18.47637736997574,225.94854736328125,152.94117736816406,-2800.078125,eta_3_bot,0.0
2,2,2653.061224489796,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,28.16183383469293,9487.2041015625,152.94117736816406,-1943.225830078125,eta_1_x,0.0,20.813883479679543,225.94854736328125,152.94117736816406,-2800.078125,eta_3_bot,0.0
3,3,2979.591836734694,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,27.034435145799264,2364.3486328125,152.94117736816406,-1436.774169921875,eta_1_x,0.0,22.362935019591312,225.94854736328125,2426.65087890625,-579.9219970703125,eta_3_bot,0.0
4,4,3306.122448979592,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,20.356289597679385,225.94854736328125,1167.8262939453125,-352.941162109375,eta_1_x,0.0,17.91599486240857,225.94854736328125,1167.8262939453125,-352.941162109375,eta_3_top,0.0
5,5,3632.6530612244896,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,14.428495486003929,225.94854736328125,1933.6104736328125,-352.941162109375,eta_1_x,0.0,13.299923936319743,225.94854736328125,1299.0435791015625,-352.941162109375,eta_3_top,0.0
6,6,3959.183673469388,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,8.76747677922796,225.94854736328125,1651.7275390625,-352.941162109375,eta_1_x,0.0,8.27431448594617,225.94854736328125,1302.3953857421875,-352.941162109375,eta_3_top,0.0
7,7,4285.714285714286,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,7.942148421611884,225.94854736328125,1421.881103515625,-352.941162109375,eta_1_x,0.0,7.271309823009131,225.94854736328125,1803.261962890625,-352.941162109375,eta_3_top,0.0
8,8,4612.244897959184,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,6.19745547434729,225.94854736328125,1541.36669921875,-352.941162109375,eta_1_x,0.0,5.755962159788804,225.94854736328125,1954.7962646484373,-352.941162109375,eta_3_top,0.0
9,9,4938.775510204081,9720,400,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,5.149313540100677,225.94854736328125,1660.8525390625,-352.941162109375,eta_1_x,0.0,4.860286681015655,225.94854736328125,1660.8525390625,-352.941162109375,eta_3_top,0.0
