,ID,t_p,L,b1,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s,beta,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
0,0,200.0,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,1.8047939840200533,1490.82568359375,125.52696990966795,-152.94117736816406,eta_4_x,0,0.8261379528164883,1182.17431640625,125.52696990966795,-152.94117736816406,eta_3_bot,50
1,1,220.4081632653061,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,1.816313172861912,1788.9908447265625,125.52696990966795,-174.00643920898438,eta_4_x,0,1.04959221590093,1418.609130859375,125.52696990966795,-174.00643920898438,eta_3_bot,0
2,2,240.81632653061223,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,1.8302423133842816,1418.609130859375,125.52696990966795,-194.9465484619141,eta_4_x,0,1.3061594236736735,1418.609130859375,125.52696990966795,-194.9465484619141,eta_3_bot,0
3,3,261.2244897959184,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,1.927243631765388,1418.609130859375,125.52696990966795,-213.7291259765625,eta_4_x,0,1.5991009581182218,1418.609130859375,125.52696990966795,-213.7291259765625,eta_3_bot,0
4,4,281.63265306122446,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,2.0082546872691096,169.46141052246094,125.52696990966795,-234.69387817382807,eta_4_x,0,1.8024444169331184,632.4385986328125,125.52696990966795,-234.69387817382807,eta_3_bot,0
5,5,302.0408163265306,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,2.615378424604575,169.46141052246094,2876.669189453125,-255.572998046875,eta_1_x,0,2.1569687834145164,971.3613891601562,2523.330810546875,-255.572998046875,eta_3_top,0
6,6,322.44897959183675,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,2.6835495619219905,169.46141052246094,2506.003662109375,-274.67877197265625,eta_1_x,0,2.2635783366788784,169.46141052246094,1975.9962158203125,-274.67877197265625,eta_3_top,0
7,7,342.8571428571429,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,2.8777410505583965,169.46141052246094,2506.003662109375,-295.5664978027344,eta_1_x,0,2.534222843080405,169.46141052246094,1975.9962158203125,-295.5664978027344,eta_3_top,0
8,8,363.265306122449,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,3.138792315247408,225.94854736328125,1975.9962158203125,-316.3923645019531,eta_1_x,0,2.8391025036183133,225.94854736328125,1975.9962158203125,-316.3923645019531,eta_3_top,0
9,9,383.6734693877551,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,3.3327292136325,225.94854736328125,2506.003662109375,-335.7142944335937,eta_1_x,0,3.108444781305765,225.94854736328125,1975.9962158203125,-335.7142944335937,eta_3_top,0
