,ID,d4_walls,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,10.0,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,4.223738766157041,2570.1162109375,5250.0,-3915.376953125,eta_4,0,13.044063100186646,9642.4013671875,5250.0,-3915.376953125,eta_3_bot,0,0.627823070792732,9536.4,178.20000000000005,0.0,bot,27,3.0656635899052214,9536.4,5221.8,0.0,bot,0,6.78213855552046,9642.4013671875,5250.0,-3915.376953125,eta_y_bot_stresses
1,1,11.428571428571429,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,5.098252214700897,2570.1162109375,5245.71435546875,-3915.376953125,eta_4,0,13.534640333397444,9642.4013671875,5245.71435546875,-3915.376953125,eta_3_bot,0,0.6398182050983311,9536.4,178.20000000000005,0.0,bot,27,2.954555766234581,9536.4,5221.8,0.0,bot,0,7.027058518111739,9642.4013671875,5245.71435546875,-3915.376953125,eta_y_bot_stresses
2,2,12.857142857142858,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,5.947346871408037,2570.1162109375,5247.05859375,-3915.376953125,eta_4,0,13.735483736959486,9642.4013671875,5247.05859375,-3915.376953125,eta_3_bot,0,0.6461196663486914,9536.4,178.20000000000005,0.0,bot,27,2.908733742169467,9536.4,5221.8,0.0,bot,0,7.127336384786511,9642.4013671875,5247.05859375,-3915.376953125,eta_y_bot_stresses
3,3,14.285714285714285,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,6.866570161598089,2570.1162109375,5247.05859375,-3915.376953125,eta_4,0,13.972854541720634,9642.4013671875,5247.05859375,-3915.376953125,eta_3_bot,0,0.6545904434038381,9536.4,178.20000000000005,0.0,bot,27,2.853780146714108,9536.4,5221.8,0.0,bot,0,7.245853925471641,9642.4013671875,5247.05859375,-3915.376953125,eta_y_bot_stresses
4,4,15.714285714285715,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,7.841292085468002,2570.1162109375,5247.05859375,-3915.376953125,eta_4,0,14.210754147841978,9642.4013671875,5247.05859375,-3915.376953125,eta_3_bot,0,0.6621892978307254,9536.4,178.20000000000005,0.0,bot,27,2.806772439249828,9536.4,5221.8,0.0,bot,0,7.364644595652318,9642.4013671875,5247.05859375,-3915.376953125,eta_y_bot_stresses
5,5,17.142857142857142,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,8.875392928564873,2775.8837890625,5247.05859375,-3738.8232421875,eta_4,0,14.445333285406075,9642.4013671875,5247.05859375,-3915.376953125,eta_3_bot,0,0.6697978834064305,9536.4,178.20000000000005,0.0,bot,26,2.764183419706697,9536.4,5221.8,0.0,bot,0,7.481781546943901,9642.4013671875,5247.05859375,-3915.376953125,eta_y_bot_stresses
6,6,18.57142857142857,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,9.968411620509746,2775.8837890625,5247.05859375,-3738.8232421875,eta_4,0,14.678643081547404,9642.4013671875,5247.05859375,-3915.376953125,eta_3_bot,0,0.6770261919571293,9536.4,178.20000000000005,0.0,bot,26,2.725517893854672,9536.4,5221.8,0.0,bot,0,7.598289659291392,9642.4013671875,5247.05859375,-3915.376953125,eta_y_bot_stresses
7,7,20.0,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,10.787775769072711,9642.4013671875,2226.798583984375,-1129.4117431640625,eta_1,0,14.908446264480498,9642.4013671875,5247.05859375,-3915.376953125,eta_3_bot,0,0.684009969834306,9536.4,178.20000000000005,0.0,bot,26,2.6923462639684725,9536.4,5221.8,0.0,bot,0,7.71305060508385,9642.4013671875,5247.05859375,-3915.376953125,eta_y_bot_stresses
8,8,21.42857142857143,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,10.785502290945969,9642.4013671875,2226.798583984375,-1129.4117431640625,eta_1,0,15.1362169094548,9642.4013671875,5247.05859375,-3915.376953125,eta_3_bot,0,0.6904006365507833,9536.4,178.20000000000005,0.0,bot,26,2.6615997754522853,9536.4,5221.8,0.0,bot,0,7.826799900335405,9642.4013671875,5247.05859375,-3915.376953125,eta_y_bot_stresses
9,9,22.857142857142858,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,10.786524251204415,9642.4013671875,2226.798583984375,-1129.4117431640625,eta_1,0,15.35782798967585,9642.4013671875,5247.05859375,-3915.376953125,eta_3_bot,0,0.6971626482713338,9536.4,178.20000000000005,0.0,bot,26,2.635628586159353,9536.4,5221.8,0.0,bot,0,7.937483196404813,9642.4013671875,5247.05859375,-3915.376953125,eta_y_bot_stresses
10,10,24.285714285714285,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,10.788762391772943,9642.4013671875,2226.798583984375,-1129.4117431640625,eta_1,0,15.579870965401632,9642.4013671875,5247.05859375,-3915.376953125,eta_3_bot,0,0.7035923501968311,9536.4,178.20000000000005,0.0,bot,26,2.6112405308582063,9536.4,5221.8,0.0,bot,0,8.048381593478377,9642.4013671875,5247.05859375,-3915.376953125,eta_y_bot_stresses
11,11,25.714285714285715,5800,9720,1200,400,2780,90,0,0,30,30,30,12,14,30,200,12,12,30,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,10.790921258226389,9642.4013671875,2226.798583984375,-1129.4117431640625,eta_1,0,15.799952667837264,9642.4013671875,5247.05859375,-3915.376953125,eta_3_bot,0,0.7099956211807936,9536.4,178.20000000000005,0.0,bot,26,2.58930518271374,9536.4,5221.8,0.0,bot,0,8.15830414214614,9642.4013671875,5247.05859375,-3915.376953125,eta_y_bot_stresses
