,ID,s_walls,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,100.0,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.41963698370143,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,16.995654348742377,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.469189222005178,534.5999999999999,0.0,-1658.7,bot,0,8.756135071833867,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
1,1,128.57142857142858,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.359678113062644,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,16.524760544188652,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.488577441427015,534.5999999999999,0.0,-1658.7,bot,0,8.520836606979739,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
2,2,157.14285714285714,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.313985161134706,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,16.214756729251967,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.503306654761224,534.5999999999999,0.0,-1658.7,bot,0,8.365940072084339,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
3,3,185.7142857142857,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.279950815800644,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,15.991720343824603,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.5121398957691365,534.5999999999999,0.0,-1658.7,bot,0,8.254510425953868,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
4,4,214.28571428571428,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.252387188731175,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,15.823751889418029,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.518934077394701,534.5999999999999,0.0,-1658.7,bot,0,8.170595486002837,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
5,5,242.8571428571429,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.229641599890387,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,15.690691181351134,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.524103112539069,534.5999999999999,0.0,-1658.7,bot,0,8.10412203797279,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
6,6,271.42857142857144,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.208578933374122,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,15.584453603580824,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.528467401207325,534.5999999999999,0.0,-1658.7,bot,0,8.051053603435749,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
7,7,300.0,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.191234456564665,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,15.496120750697155,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.532000775963708,534.5999999999999,0.0,-1658.7,bot,0,8.006927914362048,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
8,8,328.57142857142856,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.174921791989062,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,15.422604170082186,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.5351369688443,534.5999999999999,0.0,-1658.7,bot,0,7.970206182771035,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
9,9,357.1428571428572,5800,9720,1200,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,10.161006334543076,225.94854736328125,1975.9962158203125,-1129.4117431640625,eta_1,0,15.357888054402023,225.94854736328125,152.94117736816406,-1923.530517578125,eta_3_bot,0,4.537546574552601,534.5999999999999,0.0,-1658.7,bot,0,7.937877748067547,225.94854736328125,152.94117736816406,-1923.530517578125,eta_y_bot_stresses
