,ID,s_walls,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,100.0,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,15.782731366074378,9487.2041015625,1975.9962158203125,-941.1764526367188,eta_1,0,16.99996598150287,9487.2041015625,152.94117736816406,-1193.869384765625,eta_3_bot,0,4.689614957372212,9169.2,0.0,-1458.7,bot,0,4.689614957372212,9169.2,0.0,-1458.7,bot,0,8.75825107172893,9487.2041015625,152.94117736816406,-1193.869384765625,eta_y_bot_stresses
1,1,128.57142857142858,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,15.597929352029988,9487.2041015625,1975.9962158203125,-941.1764526367188,eta_1,0,16.614676317130215,9487.2041015625,152.94117736816406,-1193.869384765625,eta_3_bot,0,4.718295299455222,9169.2,0.0,-1458.7,bot,0,4.718295299455222,9169.2,0.0,-1458.7,bot,0,8.565759873443021,9487.2041015625,152.94117736816406,-1193.869384765625,eta_y_bot_stresses
2,2,157.14285714285714,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,15.463359622607657,9487.2041015625,1975.9962158203125,-941.1764526367188,eta_1,0,16.358379969115944,9487.2041015625,152.94117736816406,-1193.869384765625,eta_3_bot,0,4.737221417237792,9169.2,0.0,-1458.7,bot,0,4.737221417237792,9169.2,0.0,-1458.7,bot,0,8.437718859822631,9487.2041015625,152.94117736816406,-1193.869384765625,eta_y_bot_stresses
3,3,185.7142857142857,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,15.358901328591484,9487.2041015625,1975.9962158203125,-941.1764526367188,eta_1,0,16.1740590397662,9487.2041015625,152.94117736816406,-1193.869384765625,eta_3_bot,0,4.750608326175479,9169.2,0.0,-1458.7,bot,0,4.750608326175479,9169.2,0.0,-1458.7,bot,0,8.345635571622356,9487.2041015625,152.94117736816406,-1193.869384765625,eta_y_bot_stresses
4,4,214.28571428571428,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,15.274215540600306,9487.2041015625,1975.9962158203125,-941.1764526367188,eta_1,0,16.03433238406812,9487.2041015625,152.94117736816406,-1193.869384765625,eta_3_bot,0,4.7606076838949285,9169.2,0.0,-1458.7,bot,0,4.7606076838949285,9169.2,0.0,-1458.7,bot,0,8.275834040434397,9487.2041015625,152.94117736816406,-1193.869384765625,eta_y_bot_stresses
5,5,242.8571428571429,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,15.20327805733056,9487.2041015625,1975.9962158203125,-941.1764526367188,eta_1,0,15.923705760025008,9487.2041015625,152.94117736816406,-1193.869384765625,eta_3_bot,0,4.768404351996777,9169.2,0.0,-1458.7,bot,0,4.768404351996777,9169.2,0.0,-1458.7,bot,0,8.220569691044728,9487.2041015625,152.94117736816406,-1193.869384765625,eta_y_bot_stresses
6,6,271.42857142857144,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,15.142341168570589,9487.2041015625,1975.9962158203125,-941.1764526367188,eta_1,0,15.83415776328376,9487.2041015625,152.94117736816406,-1193.869384765625,eta_3_bot,0,4.774564924109782,9169.2,0.0,-1458.7,bot,0,4.774564924109782,9169.2,0.0,-1458.7,bot,0,8.175835906782007,9487.2041015625,152.94117736816406,-1193.869384765625,eta_y_bot_stresses
7,7,300.0,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,14.997115689915848,8851.1953125,152.94117736816406,-1723.530517578125,eta_4,0,15.758985834577318,9487.2041015625,152.94117736816406,-1193.869384765625,eta_3_bot,0,4.779549860848861,9169.2,0.0,-1458.7,bot,0,4.779549860848861,9169.2,0.0,-1458.7,bot,0,8.13828391555721,9487.2041015625,152.94117736816406,-1193.869384765625,eta_y_bot_stresses
8,8,328.57142857142856,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,14.073202189811392,8851.1953125,152.94117736816406,-1723.530517578125,eta_4,0,15.695593777033396,9487.2041015625,152.94117736816406,-1193.869384765625,eta_3_bot,0,4.783692091055119,9169.2,0.0,-1458.7,bot,0,4.783692091055119,9169.2,0.0,-1458.7,bot,0,8.106617968573463,9487.2041015625,152.94117736816406,-1193.869384765625,eta_y_bot_stresses
9,9,357.1428571428572,5800,9720,1000,400,2780,90,0,0,30,30,30,12,14,30,200,24,12,12,14,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,13.281300323300544,8851.1953125,152.94117736816406,-1723.530517578125,eta_4,0,15.64167649366117,9487.2041015625,152.94117736816406,-1193.869384765625,eta_3_bot,0,4.78717713782519,9169.2,0.0,-1458.7,bot,0,4.78717713782519,9169.2,0.0,-1458.7,bot,0,8.07968510238167,9487.2041015625,152.94117736816406,-1193.869384765625,eta_y_bot_stresses
