,ID,L,b1,t_p,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,fsy,s,beta,ecu,fsu,b2,alpha_l,l_sec,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,withMPCs,offsetmodeling,mesh_size_factor,oo,uu,d3_plate,d2_walls,d3_walls,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
0,0,5896.042102578052,10183.791863071492,1189.0254188753056,587.1759752071247,3951.288982026924,16.58976000599207,24.595058767801667,15.124577679705649,435.6929771328884,16.282806805368498,14.5953474452245,260.6615761323173,47.16986936185144,387.9463576792718,0.8207666231796648,-7.529530066443854,-0.002,418.9820662936136,10183.791863071492,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,9.049629108609254,9817.9365234375,2463.7109375,-1140.4937744140625,eta_1_x,0.0,41.17804237634528,9817.9365234375,245.6552581787109,-3552.487060546875,eta_3_top,0.0
1,1,9783.893187855758,15582.253980993017,434.0896551569524,668.1347305409773,4157.543342327942,10.005125742750876,15.433241154943826,11.179018489492506,396.7326134991718,27.101958400542824,19.67299915219096,405.2713646649424,45.87645134177026,328.8362532997484,0.6220984733672652,31.589748974857244,-0.002,355.1431535637283,15582.253980993017,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.8665574870208986,15358.3359375,4856.115234375,-394.626953125,eta_1_x,52.0,0.0072601957116194,14298.7421875,4259.6435546875,-394.626953125,eta_3_top,433.0
2,2,3518.4914024654804,15074.031206718908,509.3427367391949,453.0057229912712,4833.272652758807,19.790377012880327,21.28163849432958,25.0489457216722,129.19674917109842,11.510783400498395,29.44539264295402,483.43351274789137,35.18651604234886,440.4347502591313,0.8184148617020374,21.790262409395663,-0.002,475.6695302798618,15074.031206718908,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,1.6105798063000245,10959.3837890625,181.2022857666016,-2277.959228515625,eta_1_x,0.0,7.161653755999182,12240.6767578125,181.2022857666016,-4713.654296875,eta_3_bot,0.0
3,3,8975.183339165498,9902.815546501022,562.7049862871299,824.9043297593364,2401.4382416936182,29.192118778682328,13.684717052167288,22.211688684257798,393.7288855854822,14.522003683960705,19.976230240731624,172.98702641739348,48.53274719064001,325.30154373358675,0.6210055792882737,-42.36448787048733,-0.002,351.3256672322737,9902.815546501022,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,2.0736927288965394,345.29742431640625,7866.09033203125,-514.815185546875,eta_4_x,0.0,5.194533961338525,345.29742431640625,5167.88623046875,-514.815185546875,eta_3_top,0.0
4,3,8975.183339165498,9902.815546501022,562.7049862871299,824.9043297593364,2401.4382416936182,29.192118778682328,13.684717052167288,22.211688684257798,393.7288855854822,14.522003683960705,19.976230240731624,172.98702641739348,48.53274719064001,325.30154373358675,0.6210055792882737,-42.36448787048733,-0.002,351.3256672322737,9902.815546501022,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,2.0736927288965394,345.29742431640625,7866.09033203125,-514.815185546875,eta_4_x,0.0,5.194533961338525,345.29742431640625,5167.88623046875,-514.815185546875,eta_3_top,0.0
5,4,16489.511571886163,7005.396050579024,327.6270665741155,969.4884774670184,3949.666517343872,22.08596382293483,26.958668267575195,12.714832214417244,372.78044136509567,13.228675372331338,25.936798875336184,280.08224860722214,39.91433896193502,376.8487992065748,0.8741030654188443,-47.581291988180894,-0.002,406.9967031431008,7005.396050579024,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,
6,4,16489.511571886163,7005.396050579024,327.6270665741155,969.4884774670184,3949.666517343872,22.08596382293483,26.958668267575195,12.714832214417244,372.78044136509567,13.228675372331338,25.936798875336184,280.08224860722214,39.91433896193502,376.8487992065748,0.8741030654188443,-47.581291988180894,-0.002,406.9967031431008,7005.396050579024,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,
7,5,16191.443576584685,18576.954851104405,691.7737331502359,833.8231861803459,4349.668270270493,16.695685853535025,29.17365112386526,22.598119027064804,391.1447571391376,25.096571460446448,12.837571967334128,356.14692802899856,37.65944326774128,438.3095644376596,0.6024451758643855,-3.866444861732994,-0.002,473.3743295926724,18576.954851104405,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,
8,6,14945.003313445484,14020.791718352828,1023.9641609173284,894.9597216257075,3397.361750114716,18.510369540241896,22.145700635711872,22.8909051443257,107.99764303110967,17.277962317859554,29.185810050824387,308.2158203421856,45.46839140148232,388.5676576577761,0.6922657838448207,9.006760542579883,-0.002,419.6530702703983,14020.791718352828,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,3.1098062137837554,13517.091796875,13650.294921875,-1260.8865966796875,eta_4_x,0.0,6.647913005320693,13517.091796875,13650.294921875,-1908.17138671875,eta_3_bot,0.0
9,7,15716.026452277938,5842.981302237589,1193.8678462893502,1091.0941605853905,3191.6851985905887,28.256981920447814,19.14201179329755,28.27541650550987,260.5067961831181,13.15243221230885,16.14242793602228,326.3470683155034,28.47256928447789,362.1918343501569,0.4741831129152288,-0.3722662452554885,-0.002,391.1671810981695,5842.981302237589,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,1.901206707847058,407.4732360839844,14127.3447265625,-1416.4471435546875,eta_4_x,0.0,3.812772192561553,407.4732360839844,14127.3447265625,-2024.5447998046875,eta_3_bot,0.0
