,Unnamed: 0,ID,L,b1,t_p,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,fsy,s,beta,ecu,fsu,b2,alpha_l,l_sec,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,withMPCs,offsetmodeling,mesh_size_factor,oo,uu,d3_plate,d2_walls,d3_walls,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_tot,vol_plate_conc,vol_plate_steel,w_plate_steel,vol_walls_conc,vol_walls_steel,w_walls_steel,GWP,AP,ADP-minerals-metals,ADP-fossil,ODP,POCP
0,0,0,5896.042102578052,10183.791863071492,1189.0254188753056,587.1759752071247,3951.288982026924,16.58976000599207,24.595058767801667,15.124577679705649,435.6929771328884,16.282806805368498,14.5953474452245,260.6615761323173,47.16986936185144,387.9463576792718,0.8207666231796648,-7.529530066443854,-0.002,418.9820662936136,10183.791863071492,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,9.049629108609254,9817.9365234375,2463.7109375,-1140.4937744140625,eta_1_x,0.0,41.17804237634528,9817.9365234375,245.6552581787109,-3552.487060546875,eta_3_top,0.0,9.049629108609254,71.39392023741543,0.13561018911441391,1064.5399845481493,47.25487095092003,0.22015589367338556,1728.2237653360767,34598.845160315315,53.95952909824317,0.11597272838123532,194385.75172265124,0.00011389412276012382,5.199577055272647
1,1,1,9783.893187855758,15582.253980993017,434.0896551569524,668.1347305409773,4157.543342327942,10.005125742750876,15.433241154943826,11.179018489492506,396.7326134991718,27.101958400542824,19.67299915219096,405.2713646649424,45.87645134177026,328.8362532997484,0.6220984733672652,31.589748974857244,-0.002,355.1431535637283,15582.253980993017,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.8665574870208986,15358.3359375,4856.115234375,-394.626953125,eta_1_x,52.0,0.0072601957116194,14298.7421875,4259.6435546875,-394.626953125,eta_3_top,433.0,0.0072601957116194,66.17918550870449,0.1832766563884382,1438.72175264924,86.5687421917693,0.45179573276404583,3546.59650219776,44890.63205887173,70.80673076157078,0.14708647734874652,263964.50957378215,0.000198758765110496,7.78393457319348
2,2,2,3518.4914024654804,15074.031206718908,509.3427367391949,453.0057229912712,4833.272652758807,19.790377012880327,21.28163849432958,25.0489457216722,129.19674917109842,11.510783400498395,29.44539264295402,483.43351274789137,35.18651604234886,440.4347502591313,0.8184148617020374,21.790262409395663,-0.002,475.6695302798618,15074.031206718908,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,1.6105798063000245,10959.3837890625,181.2022857666016,-2277.959228515625,eta_1_x,0.0,7.161653755999182,12240.6767578125,181.2022857666016,-4713.654296875,eta_3_bot,0.0,1.6105798063000245,27.014443262969625,0.5210388202184076,4090.1547387145,66.00918785406775,0.2862508263349269,2247.068986729176,21932.9263937799,38.023590340465596,0.05556765561440232,159556.6326157815,0.00024323297765556034,6.464172572468782
3,3,3,8975.183339165498,9902.815546501022,562.7049862871299,824.9043297593364,2401.4382416936182,29.192118778682328,13.684717052167288,22.2116886842578,393.7288855854822,14.522003683960705,19.976230240731624,172.98702641739348,48.53274719064001,325.30154373358675,0.6210055792882737,-42.36448787048733,-0.002,351.3256672322737,9902.815546501022,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,2.0736927288965394,345.29742431640625,7866.09033203125,-514.815185546875,eta_4_x,0.0,5.194533961338525,345.29742431640625,5167.88623046875,-514.815185546875,eta_3_top,0.0,2.0736927288965394,50.012985717031164,0.29728882170055526,2333.717250349359,39.23409965580171,0.36414574825315094,2858.5441237872346,28049.11312176792,44.995401241821845,0.08676689378485368,176717.69668610932,0.00020223255691967566,6.585482049879605
4,4,3,8975.183339165498,9902.815546501022,562.7049862871299,824.9043297593364,2401.4382416936182,29.192118778682328,13.684717052167288,22.2116886842578,393.7288855854822,14.522003683960705,19.976230240731624,172.98702641739348,48.53274719064001,325.30154373358675,0.6210055792882737,-42.36448787048733,-0.002,351.3256672322737,9902.815546501022,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,2.0736927288965394,345.29742431640625,7866.09033203125,-514.815185546875,eta_4_x,0.0,5.194533961338525,345.29742431640625,5167.88623046875,-514.815185546875,eta_3_top,0.0,2.0736927288965394,50.012985717031164,0.29728882170055526,2333.717250349359,39.23409965580171,0.36414574825315094,2858.5441237872346,28049.11312176792,44.995401241821845,0.08676689378485368,176717.69668610932,0.00020223255691967566,6.585482049879605
5,5,4,16489.511571886163,7005.396050579024,327.6270665741155,969.4884774670184,3949.666517343872,22.08596382293483,26.958668267575195,12.714832214417244,372.78044136509567,13.228675372331338,25.936798875336184,280.08224860722214,39.91433896193502,376.8487992065748,0.8741030654188443,-47.581291988180894,-0.002,406.9967031431008,7005.396050579024,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,,0.0,37.84602381801629,0.3699862304033647,2904.3919086664127,53.64951113845768,0.3181268848242187,2497.296045870117,27494.52819254376,44.740827336479256,0.08425272650144233,181945.4652305509,0.00020965395915553374,6.5568584932221885
6,6,4,16489.511571886163,7005.396050579024,327.6270665741155,969.4884774670184,3949.666517343872,22.08596382293483,26.958668267575195,12.714832214417244,372.78044136509567,13.228675372331338,25.936798875336184,280.08224860722214,39.91433896193502,376.8487992065748,0.8741030654188443,-47.581291988180894,-0.002,406.9967031431008,7005.396050579024,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,,0.0,37.84602381801629,0.3699862304033647,2904.3919086664127,53.64951113845768,0.3181268848242187,2497.296045870117,27494.52819254376,44.740827336479256,0.08425272650144233,181945.4652305509,0.00020965395915553374,6.5568584932221885
7,7,5,16191.443576584685,18576.954851104405,691.7737331502359,833.8231861803459,4349.668270270493,16.695685853535025,29.17365112386526,22.598119027064804,391.1447571391376,25.096571460446448,12.837571967334128,356.14692802899856,37.65944326774128,438.3095644376596,0.6024451758643855,-3.866444861732994,-0.002,473.3743295926724,18576.954851104405,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,,0.0,208.07704138810723,1.0777910494158673,8460.659737914559,134.75181552843353,0.6652697209162901,5222.367309192878,101377.77830600715,161.3226822389347,0.3261455602239365,617049.7688598146,0.0005396359421458929,19.426151427984205
8,8,6,14945.003313445484,14020.791718352828,1023.9641609173284,894.9597216257075,3397.361750114716,18.510369540241896,22.145700635711872,22.8909051443257,107.99764303110967,17.277962317859554,29.185810050824387,308.2158203421856,45.46839140148232,388.5676576577761,0.6922657838448207,9.006760542579883,-0.002,419.6530702703983,14020.791718352828,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,3.1098062137837554,13517.091796875,13650.294921875,-1260.8865966796875,eta_4_x,0.0,6.647913005320693,13517.091796875,13650.294921875,-1908.17138671875,eta_3_bot,0.0,3.1098062137837554,214.56224762713143,2.2873995368411073,17956.086364202692,85.26048845144504,0.5868150644229744,4606.498255720348,91315.18387568559,151.29696705777272,0.2683364493456293,644185.4653187089,0.0008693664208133306,25.29895961437926
9,9,7,15716.026452277938,5842.981302237589,1193.8678462893502,1091.0941605853905,3191.6851985905887,28.256981920447814,19.14201179329755,28.27541650550987,260.5067961831181,13.15243221230885,16.14242793602228,326.3470683155034,28.47256928447789,362.1918343501569,0.4741831129152288,-0.3722662452554885,-0.002,391.1671810981695,5842.981302237589,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,1.901206707847058,407.4732360839844,14127.3447265625,-1416.4471435546875,eta_4_x,0.0,3.812772192561553,407.4732360839844,14127.3447265625,-2024.5447998046875,eta_3_bot,0.0,1.901206707847058,109.63103228488107,0.583707778015041,4582.106057418072,40.695536032105736,0.16621238379371783,1304.767212780685,34352.82098572378,57.250225360048724,0.09674037218422124,214886.1237825569,0.00022975602586774302,7.031508618132047
