,L,b1,t_p,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,fsy,s,beta,alpha_l,h_v,l_v,oo,uu,d3_plate,d3_walls,d2_walls,fsu_fac,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu
0,17759.517821601436,3061.606157903355,983.149176984508,300.7450901931802,3676.2663295237785,24.675826970854683,23.781926122601885,21.72947421056627,103.93686696400255,23.78985308923887,29.531786427999805,125.40544934182654,33.766465614624465,413.66241942873654,0.3177974377356605,-5.575254464254807,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,3061.606157903355,0.33,0.33,-0.002,446.7554129830355
1,10325.767600151697,10229.047191785774,473.2644682319506,974.3109798384936,3157.6622300620134,29.77380614312773,21.3764075670406,14.730252991491568,382.651082353811,11.47845051767294,24.550563995332574,114.75831591677299,36.083085838997405,344.5358131542783,0.6404479947905802,-6.979936014862292,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,10229.047191785774,0.33,0.33,-0.002,372.09867820662055
2,10144.870522513937,14049.620640013982,530.277259781374,893.6976105134358,2232.556464442062,14.468020643664072,22.54594447700297,28.424720250947797,360.0062274357899,27.061177440131704,18.973504413350597,365.7039451232605,46.7069505339619,307.7053237294233,0.7340905411582107,39.01477510226363,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,14049.620640013982,0.33,0.33,-0.002,332.3217496277772
3,8176.785027402889,17557.323287057214,461.57283720201707,455.9378487170451,3516.9389710943906,27.70078965652991,18.78339178907471,16.844915605009373,168.61045225378763,19.96555814095024,16.534864616180652,328.6535078753067,30.01997895020262,367.11890389627195,0.24990134796756608,-40.069330623902374,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,17557.323287057214,0.33,0.33,-0.002,396.4884162079737
4,16079.785425757316,15247.186093266228,555.1013092602723,995.1761669873879,4879.409678776872,22.019896903924497,28.278946198963215,16.06611290372378,270.45563362081697,17.938449677263968,19.7453092069939,109.0470393756237,47.8459455178701,362.5477156515125,0.7381171760663272,-1.5721665233713995,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15247.186093266228,0.33,0.33,-0.002,391.5515329036335
5,3816.255645811246,12494.163432292593,842.9113086052432,212.74458897477624,4139.122198697127,12.512039429254948,11.113945081670643,12.201873694077943,382.3079587373553,26.901751183723793,25.936321618150803,210.4726302796301,31.773309448930103,402.5709358051463,0.19439382450572845,25.199319527352944,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,12494.163432292593,0.33,0.33,-0.002,434.776610669558
6,7452.625878575242,8439.445125107779,287.8931153285811,740.1486718738057,3049.702347531776,10.919735485324917,14.69516718983181,28.55418070986076,107.3151040328339,28.780340531760878,26.349644633316654,276.2222683307421,28.962455661878526,369.5767875871083,0.7740302097740055,11.86769043282136,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,8439.445125107779,0.33,0.33,-0.002,399.142930594077
7,10671.328093459078,14053.56081608228,395.840111423056,690.141181678559,3849.738789845429,20.115663749369624,21.455412203174262,20.878430564921832,130.51294313478428,17.802944411328138,18.054072835432223,105.15429575238842,39.3138586400423,393.7581700506319,0.1544184412429275,-24.452097007555604,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,14053.56081608228,0.33,0.33,-0.002,425.2588236546825
8,12631.910806021144,8134.8763962546145,672.0155999570163,1051.1825539383867,4720.825651444407,12.435065162194196,24.708341687761028,26.053185256452256,261.5585235799268,25.930791966353354,28.142000769463753,279.0959249949055,33.415250539937574,420.1202594063908,0.48623290994540963,20.96421337082771,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,8134.8763962546145,0.33,0.33,-0.002,453.7298801589021
9,15503.886295592507,16851.356698634103,959.2993934420116,435.12955472268953,4141.829541352707,27.22255400587067,22.313614220032385,22.908254338613556,270.2828004443825,14.601714409518316,17.753499612848277,109.20599856554823,39.55107885820028,446.82121318487134,0.23426550781349822,32.33423849186166,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,16851.356698634103,0.33,0.33,-0.002,482.56691023966107
10,2381.9327616773085,12996.655484325942,557.823663099273,282.8200439936538,4120.662172188138,27.841421126924136,15.898101925436132,13.234766677987658,214.1918897962417,15.83909931796665,20.78495938158648,145.53003949113577,26.134926382625952,404.1831860870774,0.187908591708884,-22.251604368925122,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,12996.655484325942,0.33,0.33,-0.002,436.5178409740436
11,14021.466433263953,6815.697774351634,634.4948498729066,1056.4558733505505,4161.084065719852,20.813456187481187,22.26177198998813,10.9502391051003,347.17569759223744,22.53731062683554,28.652608859158146,350.98515979604554,32.17654430354605,383.11679897228714,0.5885602619340466,-43.46206858292777,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,6815.697774351634,0.33,0.33,-0.002,413.7661428900701
12,16426.157111757995,7051.115785267499,1135.5500075067114,968.6847432308138,3547.2076005904682,22.068232075043774,27.39083086247713,22.383551644171316,491.1420359794413,12.44888810313945,12.164883223172561,164.8839146201426,27.588155152486074,446.65458176389205,0.5197643241791434,28.356619353116457,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,7051.115785267499,0.33,0.33,-0.002,482.38694830500344
13,6169.454077543084,19456.30791606703,300.8421270631737,277.1819801994807,4562.312706493536,27.150735976361908,22.692021436545325,26.604733793198044,451.2550940386162,14.077511296173771,29.25731373257574,328.04286696465215,46.46730232406741,374.23730851610804,0.09261286258862005,47.51984743293798,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,19456.30791606703,0.33,0.33,-0.002,404.1762931973967
14,2108.717197472948,12282.70804403212,453.0475317891299,224.57642484608348,4751.13492280471,28.52251794696208,21.69982361085536,21.474039794729688,358.11130234074795,13.816377634197416,24.587356173800192,331.6494532922809,29.083944320123322,372.1214078087718,0.18012328447432918,20.555954660893885,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,12282.70804403212,0.33,0.33,-0.002,401.89112043347353
15,6952.697347524923,15595.197957191962,273.6073970092583,1036.0405955019976,4820.004688611387,26.40471794150781,12.997654624904204,24.428051404454287,191.85115153303792,17.610451579683154,13.582763375500383,452.9847284188816,39.04207912378317,350.0210039631283,0.7786914970100874,5.8750157560383975,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15595.197957191962,0.33,0.33,-0.002,378.02268428017857
16,17419.14968879552,8190.132516160908,1181.2376587285744,929.693601384098,2937.1031130618976,27.741004523548412,22.141878907159047,11.098420271374392,417.82443347959173,18.41866385317153,20.400745500102193,200.28951109931842,34.18538033608493,403.08856125011835,0.4842674057451809,-18.223141618913168,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,8190.132516160908,0.33,0.33,-0.002,435.33564615012784
17,17156.211468751793,16888.65888829592,933.1959214192954,468.78524361860315,3283.2967670138796,22.76926375394511,22.12313785754128,15.900321212134381,114.1024282505173,23.651074029465647,19.883394652802497,424.8802333734675,32.325123992904004,333.1126507439666,0.8601057923939048,19.489631521899458,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,16888.65888829592,0.33,0.33,-0.002,359.76166280348394
18,16554.624336920413,5141.704771749656,582.1813744890255,1009.731939834732,2993.633063333198,22.077358075810597,26.281997657822416,27.304940109085585,296.17242587038066,18.67835465312235,26.95260746688425,329.7548980633413,30.923770408729006,379.96082129080776,0.5020868590562404,-48.59445245330932,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,5141.704771749656,0.33,0.33,-0.002,410.3576869940724
19,8213.719060677953,15084.54893609707,442.95841058838477,946.872393429725,2394.8886575899,14.359043044694605,17.135002353344564,20.34577532587224,274.3713165080587,26.33862996954399,16.43237970304316,228.9910154481511,26.88841209883272,364.7513058210615,0.6138520783591118,7.1514019394661625,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15084.54893609707,0.33,0.33,-0.002,393.9314102867465
20,14463.455131252666,4758.950502092449,707.5764992945084,920.0068816376288,4296.559976522421,26.189255566359883,11.89201669355823,10.968339114296983,140.1464204175404,18.270698382442852,26.817398457385014,279.22870149215754,39.021195808011996,335.8225471412698,0.12315651035647716,28.72705111275898,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,4758.950502092449,0.33,0.33,-0.002,362.6883509125714
21,16604.50382121021,4165.858303740707,787.8520384963813,790.6845124833186,2494.4853663754593,28.97782557681715,11.791999845010105,28.058512674106446,217.76212104747202,27.16661142976638,16.358946864459227,180.085313140597,27.54413898215081,333.90753285760684,0.6010354243650434,14.336787175703462,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,4165.858303740707,0.33,0.33,-0.002,360.6201354862154
22,11583.523046781087,4381.289735948454,290.0589002945919,517.9493764786332,2903.996288524531,28.566085572965275,16.984625711887286,20.63599118953651,130.48776893691098,20.485414271562103,10.063116469894096,138.6477740635461,47.06334947067548,364.4630232406076,0.43277757585624776,28.218827759850058,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,4381.289735948454,0.33,0.33,-0.002,393.6200650998562
23,8327.978861876856,15138.30799831587,454.9987162396581,919.9189033254081,2387.448056639385,14.997790650968849,16.77443830904895,20.715461764496407,274.527126745294,26.290937563818776,16.26477596542273,242.29749325329468,26.933131610499952,362.7704323286545,0.6232474532363177,6.000519160764443,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15138.30799831587,0.33,0.33,-0.002,391.79206691494693
24,9268.907135670195,5116.973194549397,1136.075985765704,454.6283738192293,4848.1678670963365,17.768119780281978,14.172321264822731,12.932416374208033,453.82936164940344,13.904651943461026,13.37158379963441,413.7670817157435,41.076673845091456,306.4174025032966,0.5386436111904288,-14.499186219126187,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,5116.973194549397,0.33,0.33,-0.002,330.93079470356037
25,13234.227526794672,8324.66763181734,987.316723568494,642.8436186081924,3911.742959984192,15.078484844314394,20.660448593504096,25.661517111828502,316.4164858339279,13.157091234324024,22.13470018333439,243.77322127626766,34.47489882081796,338.9478351121284,0.6344862402956565,32.54628951554911,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,8324.66763181734,0.33,0.33,-0.002,366.06366192109874
26,10035.884014568242,6009.06730178757,798.3880717719155,443.64551081502907,3061.6863099319444,21.398514737274827,28.094985840098957,10.607686596133625,401.1795357959254,16.256033491101864,15.276108967795226,220.70188957352624,25.64193033029273,414.28002490422716,0.26404996921973967,-19.50129933754462,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,6009.06730178757,0.33,0.33,-0.002,447.42242689656536
27,8287.405618795236,18226.873381279223,350.9126527353776,661.8092316898735,4435.851275866094,19.603820328792597,13.97415606391215,22.277110791612117,129.73502356260056,28.90321511677625,24.2615379384703,377.80579152873145,35.752840114617044,386.229887301249,0.4941714377871606,-38.12710044766971,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,18226.873381279223,0.33,0.33,-0.002,417.1282782853489
28,14647.89403504729,5712.343784005879,863.1612784316302,468.74565848053027,3825.5708504786944,26.241860813386015,10.535861986933542,26.52001152817917,191.90283541788907,13.755530679589349,20.133043388965294,235.5574306034578,44.85212787744918,360.12826258003395,0.2790682526157121,-44.4319602499501,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,5712.343784005879,0.33,0.33,-0.002,388.9385235864367
29,12661.402788050118,14241.547913398364,535.1394890357776,548.2599856267392,4714.90657482125,14.061893745904861,12.111748070161529,13.739222109206887,200.4670673555598,26.090879837251386,20.125526033002295,292.15574625754783,47.188454941644174,441.0881866841373,0.591083385728472,6.001810187086362,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,14241.547913398364,0.33,0.33,-0.002,476.37524161886836
30,9295.406585970832,7469.732631899462,343.7167923523558,600.5445201371945,3156.328562729556,19.92737848234965,14.446210775679209,22.880815460836608,484.17465086434447,27.20758530583766,23.959187486248943,266.9261457111689,37.24297643843597,421.24113201018713,0.14422082338386252,-37.62319942620852,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,7469.732631899462,0.33,0.33,-0.002,454.9404225710021
31,4287.026427535969,15074.637408912804,402.3040648437096,236.60287259563847,4434.143735940107,27.760703624333452,25.82194826915853,18.953002413245805,309.6949526653029,19.010846294245432,26.60757832501847,332.1875019083951,26.215206595583503,356.98427265591886,0.8382744636640654,-28.38019810579242,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15074.637408912804,0.33,0.33,-0.002,385.5430144683924
32,8495.611707740483,9760.56618259923,1024.0329641912379,291.03297855436176,2732.786006170383,25.71161230515373,27.05227498619732,22.738539122700594,129.76386985990047,16.219081186474472,22.35559929847411,307.93818507172733,29.071955706096926,315.5669724294157,0.4149963611693963,-39.459249516672,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9760.56618259923,0.33,0.33,-0.002,340.812330223769
33,7198.325580550358,8994.252363426658,213.16321084740792,832.9102699280423,4913.852244908132,25.116905492930314,28.87159946179273,14.273980225282775,465.93841319237686,26.304044773309585,20.447155118703936,328.0594444504097,41.73492428993635,379.7129392157723,0.7914097664759123,-9.562915769802762,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,8994.252363426658,0.33,0.33,-0.002,410.0899743530341
34,13733.471921243501,14317.5843504351,535.6592386655024,930.4414983010561,3764.2304637234524,15.778386380605271,21.644551011797084,26.50507154245328,173.12897672212424,15.753042308931924,29.454429191334288,360.3502844761697,48.55968335049865,425.91984573985883,0.44478381180783,-40.49725857166983,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,14317.5843504351,0.33,0.33,-0.002,459.99343339904755
35,15413.632091830452,12447.211844014802,757.7936278737186,897.7750287551095,2016.5807517660346,25.240125583186458,25.852989266207803,15.44939480997113,375.94050138432254,25.149933957114182,22.366313455320636,237.98317684205995,47.55549040739579,322.579733679301,0.5998704104064658,-30.176342015547952,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,12447.211844014802,0.33,0.33,-0.002,348.3861123736451
