,ID,L,b1,t_p,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,fsy,s,beta,alpha_l,h_v,l_v,oo,uu,d3_plate,d3_walls,d2_walls,fsu_fac,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
0,0,17759.517821601436,3061.606157903355,983.149176984508,300.7450901931802,3676.2663295237785,24.675826970854683,23.781926122601885,21.72947421056627,103.93686696400256,23.78985308923887,29.531786427999805,125.40544934182654,33.766465614624465,413.6624194287365,0.3177974377356605,-5.575254464254807,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,3061.606157903355,0.33,0.33,-0.002,446.7554129830355,1.6351178415825731,106.7539291381836,8974.1826171875,-907.5223388671876,eta_1_x,0.0,0.4066539985328153,106.7539291381836,8484.5908203125,-907.5223388671876,eta_3_top,220.0
1,1,10325.767600151696,10229.047191785774,473.2644682319506,974.3109798384936,3157.6622300620134,29.77380614312773,21.3764075670406,14.730252991491568,382.651082353811,11.47845051767294,24.55056399533257,114.758315916773,36.083085838997405,344.5358131542783,0.6404479947905802,-6.979936014862292,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,10229.047191785774,0.33,0.33,-0.002,372.09867820662055,2.008142895785608,6996.158203125,217.3814392089844,-425.9380187988281,eta_4_x,0.0,3.5621586771310887,6513.38916015625,4981.67529296875,-425.9380187988281,eta_3_top,0.0
2,2,10144.870522513937,14049.620640013982,530.277259781374,893.6976105134358,2232.556464442062,14.468020643664072,22.54594447700297,28.4247202509478,360.0062274357899,27.061177440131704,18.9735044133506,365.7039451232605,46.7069505339619,307.7053237294233,0.7340905411582107,39.01477510226363,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,14049.620640013982,0.33,0.33,-0.002,332.3217496277772,2.2177644805893344,13797.2529296875,3385.2373046875,-483.1415100097656,eta_1_x,0.0,4.53931403097326,13797.2529296875,1203.868408203125,-483.1415100097656,eta_3_bot,0.0
3,3,8176.785027402889,17557.323287057214,461.572837202017,455.9378487170451,3516.9389710943906,27.70078965652991,18.78339178907471,16.844915605009373,168.61045225378763,19.96555814095024,16.534864616180652,328.6535078753067,30.01997895020262,367.118903896272,0.249901347967566,-40.06933062390237,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,17557.323287057214,0.33,0.33,-0.002,396.4884162079737,2.2882040181795804,244.8796539306641,179.9754638671875,-706.8345336914062,eta_4_x,0.0,4.848022763869511,244.8796539306641,3583.05078125,-412.9862365722656,eta_3_top,0.0
4,4,16079.785425757316,15247.186093266228,555.1013092602723,995.176166987388,4879.409678776872,22.019896903924497,28.27894619896321,16.06611290372378,270.45563362081697,17.938449677263968,19.7453092069939,109.0470393756237,47.8459455178701,362.5477156515125,0.7381171760663272,-1.5721665233713995,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15247.186093266228,0.33,0.33,-0.002,391.5515329036335,1.809184920667724,14973.306640625,7813.263671875,-507.858642578125,eta_1_x,0.0,0.1620805495519674,11085.2744140625,8553.537109375,-507.858642578125,eta_3_top,212.0
5,5,3816.255645811246,12494.163432292591,842.9113086052432,212.74458897477624,4139.122198697127,12.512039429254948,11.113945081670645,12.201873694077944,382.3079587373553,26.901751183723796,25.936321618150803,210.4726302796301,31.773309448930103,402.5709358051463,0.1943938245057284,25.199319527352944,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,12494.163432292591,0.33,0.33,-0.002,434.776610669558,2.108655323959292,9588.111328125,3134.581298828125,-800.7657470703125,eta_4_x,0.0,2.835214086533439,1891.5045166015625,94.55315399169922,-4885.81689453125,eta_3_bot,0.0
6,6,7452.625878575242,8439.445125107779,287.8931153285811,740.1486718738057,3049.702347531776,10.919735485324916,14.69516718983181,28.55418070986076,107.3151040328339,28.78034053176088,26.34964463331665,276.2222683307421,28.96245566187853,369.5767875871083,0.7740302097740055,11.86769043282136,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,8439.445125107779,0.33,0.33,-0.002,399.142930594077,1.836284095027104,8287.8505859375,3575.84716796875,-245.2422790527344,eta_1_x,0.0,1.0385949277853646,8287.8505859375,582.3356323242188,-245.2422790527344,eta_3_bot,0.0
7,7,10671.328093459078,14053.56081608228,395.840111423056,690.141181678559,3849.738789845429,20.115663749369624,21.455412203174262,20.878430564921832,130.51294313478428,17.802944411328138,18.054072835432223,105.15429575238842,39.3138586400423,393.7581700506319,0.1544184412429275,-24.452097007555604,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,14053.56081608228,0.33,0.33,-0.002,425.2588236546825,1.8185610550554816,245.0140686035156,865.910888671875,-347.8594970703125,eta_4_x,0.0,2.469836522892238,245.0140686035156,865.910888671875,-347.8594970703125,eta_3_bot,0.0
8,8,12631.910806021144,8134.8763962546145,672.0155999570163,1051.1825539383867,4720.825651444407,12.435065162194196,24.708341687761028,26.053185256452256,261.5585235799268,25.930791966353357,28.142000769463756,279.0959249949055,33.415250539937574,420.1202594063908,0.4862329099454096,20.96421337082771,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,8134.8763962546145,0.33,0.33,-0.002,453.7298801589021,1.6318475654111364,7842.62890625,7343.0478515625,-624.8566284179688,eta_1_x,0.0,3.1481276210812914,7842.62890625,11176.923828125,-624.8566284179688,eta_3_bot,0.0
9,9,15503.886295592509,16851.356698634103,959.2993934420116,435.12955472268953,4141.829541352707,27.22255400587067,22.313614220032385,22.90825433861356,270.2828004443825,14.601714409518316,17.753499612848277,109.20599856554824,39.55107885820028,446.82121318487134,0.2342655078134982,32.33423849186166,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,16851.356698634103,0.33,0.33,-0.002,482.566910239661,1.571248233066996,10886.861328125,14898.2333984375,-1498.2811279296875,eta_4_x,0.0,1.7924282563129323,11364.05078125,14898.2333984375,-1103.7188720703125,eta_3_bot,0.0
10,10,2381.9327616773085,12996.655484325942,557.823663099273,282.8200439936538,4120.662172188138,27.841421126924136,15.898101925436132,13.234766677987658,214.1918897962417,15.83909931796665,20.78495938158648,145.53003949113577,26.134926382625952,404.1831860870774,0.187908591708884,-22.25160436892512,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,12996.655484325942,0.33,0.33,-0.002,436.5178409740436,4.366471446276514,2295.50634765625,94.27334594726562,-4534.80419921875,eta_4_x,0.0,4.882583470183366,1993.3896484375,94.27334594726562,-4142.2587890625,eta_3_bot,0.0
11,11,14021.466433263951,6815.697774351634,634.4948498729066,1056.4558733505503,4161.084065719852,20.813456187481187,22.26177198998813,10.9502391051003,347.17569759223744,22.53731062683554,28.652608859158143,350.98515979604554,32.17654430354605,383.1167989722872,0.5885602619340466,-43.46206858292777,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,6815.697774351634,0.33,0.33,-0.002,413.7661428900701,1.822865085503203,237.65382385253903,11840.240234375,-590.736572265625,eta_4_x,0.0,3.836062496141301,237.65382385253903,11840.240234375,-590.736572265625,eta_3_bot,0.0
12,12,16426.157111757995,7051.115785267499,1135.5500075067114,968.6847432308138,3547.207600590468,22.06823207504377,27.39083086247713,22.38355164417132,491.1420359794413,12.44888810313945,12.16488322317256,164.8839146201426,27.588155152486078,446.65458176389205,0.5197643241791434,28.356619353116457,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,7051.115785267499,0.33,0.33,-0.002,482.3869483050034,1.551868359137664,6544.490234375,15020.9658203125,-2058.756591796875,eta_4_x,0.0,3.378755623935342,6544.490234375,436.5060729980469,-1382.9224853515625,eta_3_bot,0.0
13,13,6169.454077543084,19456.30791606703,300.8421270631737,277.1819801994807,4562.312706493536,27.150735976361908,22.692021436545325,26.604733793198044,451.2550940386162,14.077511296173771,29.25731373257574,328.0428669646521,46.46730232406741,374.237308516108,0.09261286258862,47.51984743293798,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,19456.30791606703,0.33,0.33,-0.002,404.1762931973967,1.882109676770868,4645.83251953125,5755.3017578125,-250.70176696777344,eta_4_x,0.0,3.645979716271434,4645.83251953125,3138.910400390625,-250.70176696777344,eta_3_top,0.0
14,14,2108.717197472948,12282.70804403212,453.0475317891299,224.57642484608348,4751.13492280471,28.52251794696208,21.69982361085536,21.474039794729688,358.11130234074795,13.816377634197416,24.587356173800192,331.6494532922809,29.08394432012332,372.1214078087718,0.1801232844743291,20.555954660893885,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,12282.70804403212,0.33,0.33,-0.002,401.89112043347353,1.7944602174196116,122.36597442626952,65.00896453857422,-2984.0556640625,eta_1_x,0.0,0.7079240872139448,122.36597442626952,65.00896453857422,-4792.00146484375,eta_3_bot,56.0
15,15,6952.697347524923,15595.197957191962,273.6073970092583,1036.0405955019976,4820.004688611387,26.40471794150781,12.997654624904204,24.428051404454287,191.85115153303792,17.610451579683154,13.582763375500384,452.9847284188816,39.04207912378317,350.0210039631283,0.7786914970100874,5.8750157560383975,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15595.197957191962,0.33,0.33,-0.002,378.02268428017857,1.9646395917393231,12725.3486328125,137.5369873046875,-226.02349853515625,eta_4_x,0.0,2.838542409600493,12725.3486328125,2481.34619140625,-226.02349853515625,eta_3_top,0.0
16,16,17419.14968879552,8190.132516160908,1181.2376587285744,929.693601384098,2937.1031130618976,27.74100452354841,22.141878907159047,11.098420271374392,417.8244334795917,18.41866385317153,20.400745500102197,200.2895110993184,34.18538033608493,403.0885612501184,0.4842674057451809,-18.223141618913168,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,8190.132516160908,0.33,0.33,-0.002,435.33564615012784,1.7644132947529465,571.156982421875,14343.66015625,-1124.98828125,eta_4_x,0.0,3.9493738790146766,571.156982421875,7705.2509765625,-1124.98828125,eta_3_top,0.0
