,ID,fcc,L,b1,t_p,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,25.0,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,2.1476959724692457,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,3.926409920774135,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8204663012498812,9169.2,445.5,0.0,bot,2,0.8204663012498812,9169.2,445.5,0.0,bot,2,2.2497151093093937,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
1,1,26.785714285714285,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,2.1511077088343638,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.010804316900311,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8260494031068647,9169.2,445.5,0.0,bot,2,0.8260494031068647,9169.2,445.5,0.0,bot,2,2.2910327848022107,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
2,2,28.571428571428573,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,2.1569554594753524,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.175496680144979,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8366760708683868,9169.2,445.5,0.0,bot,2,0.8366760708683868,9169.2,445.5,0.0,bot,2,2.371778734654357,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
3,3,30.357142857142858,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,2.162104105768703,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.337008083860906,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8471053077082578,9169.2,445.5,0.0,bot,1,0.8471053077082578,9169.2,445.5,0.0,bot,1,2.4510991667818307,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
4,4,32.142857142857146,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,2.166869534541528,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.496025922220645,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8574631836015115,9169.2,445.5,0.0,bot,1,0.8574631836015115,9169.2,445.5,0.0,bot,1,2.529308820148042,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
5,5,33.92857142857143,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,2.168809464714156,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.57417736973746,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8624583747431124,9169.2,445.5,0.0,bot,1,0.8624583747431124,9169.2,445.5,0.0,bot,1,2.567783472199729,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
6,6,35.714285714285715,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,2.172034481577677,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.728383323432001,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8722397710004846,9169.2,445.5,0.0,bot,1,0.8722397710004846,9169.2,445.5,0.0,bot,1,2.64376572055394,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
7,7,37.5,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,2.1744431119446097,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,4.880112625221611,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8817697769186517,9169.2,445.5,0.0,bot,1,0.8817697769186517,9169.2,445.5,0.0,bot,1,2.718605206556141,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
8,8,39.285714285714285,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,2.1759588466116577,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,5.029596438854661,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.8910235620214467,9169.2,445.5,0.0,bot,1,0.8910235620214467,9169.2,445.5,0.0,bot,1,2.792404039490888,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
9,9,41.07142857142857,5800,9720,400,400,2780,90,0,0,30,30,14,12,14,24,200,24,12,12,14,200,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,407.94,2.1771895520193967,9487.2041015625,188.2904510498047,-352.941162109375,eta_4,0,5.178174156464335,9487.2041015625,2506.003662109375,-352.941162109375,eta_3_top,0,0.9003396731547553,9169.2,445.5,0.0,bot,1,0.9003396731547553,9169.2,445.5,0.0,bot,1,2.865815506642244,9487.2041015625,2506.003662109375,-352.941162109375,eta_y_top_stresses
