,ID,s_plate,L,b1,t_p,t_w,h_w,d1_plate,d4_plate,d1_walls,d4_walls,s_walls,fcc,fsy,fsu_fac,s,beta,ecu,fsu,b2,alpha_l,l_sec,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,withMPCs,offsetmodeling,mesh_size_factor,oo,uu,d2_plate,d3_plate,d2_walls,d3_walls,d1_plate_s1,d2_plate_s1,d3_plate_s1,d4_plate_s1,s1_plate_s1,s2_plate_s1,s3_plate_s1,s4_plate_s1,d1_walls_s1,d2_walls_s1,d3_walls_s1,d4_walls_s1,s1_walls_s1,s2_walls_s1,s3_walls_s1,s4_walls_s1,d1_plate_s2,d2_plate_s2,d3_plate_s2,d4_plate_s2,s1_plate_s2,s2_plate_s2,s3_plate_s2,s4_plate_s2,d1_walls_s2,d2_walls_s2,d3_walls_s2,d4_walls_s2,s1_walls_s2,s2_walls_s2,s3_walls_s2,s4_walls_s2,d1_plate_s3,d2_plate_s3,d3_plate_s3,d4_plate_s3,s1_plate_s3,s2_plate_s3,s3_plate_s3,s4_plate_s3,d1_walls_s3,d2_walls_s3,d3_walls_s3,d4_walls_s3,s1_walls_s3,s2_walls_s3,s3_walls_s3,s4_walls_s3,d1_plate_s4,d2_plate_s4,d3_plate_s4,d4_plate_s4,s1_plate_s4,s2_plate_s4,s3_plate_s4,s4_plate_s4,d1_walls_s4,d2_walls_s4,d3_walls_s4,d4_walls_s4,s1_walls_s4,s2_walls_s4,s3_walls_s4,s4_walls_s4,d1_plate_s5,d2_plate_s5,d3_plate_s5,d4_plate_s5,s1_plate_s5,s2_plate_s5,s3_plate_s5,s4_plate_s5,d1_walls_s5,d2_walls_s5,d3_walls_s5,d4_walls_s5,s1_walls_s5,s2_walls_s5,s3_walls_s5,s4_walls_s5,d1_plate_s6,d2_plate_s6,d3_plate_s6,d4_plate_s6,s1_plate_s6,s2_plate_s6,s3_plate_s6,s4_plate_s6,d1_walls_s6,d2_walls_s6,d3_walls_s6,d4_walls_s6,s1_walls_s6,s2_walls_s6,s3_walls_s6,s4_walls_s6,d1_plate_s7,d2_plate_s7,d3_plate_s7,d4_plate_s7,s1_plate_s7,s2_plate_s7,s3_plate_s7,s4_plate_s7,d1_walls_s7,d2_walls_s7,d3_walls_s7,d4_walls_s7,s1_walls_s7,s2_walls_s7,s3_walls_s7,s4_walls_s7,d1_plate_s8,d2_plate_s8,d3_plate_s8,d4_plate_s8,s1_plate_s8,s2_plate_s8,s3_plate_s8,s4_plate_s8,d1_walls_s8,d2_walls_s8,d3_walls_s8,d4_walls_s8,s1_walls_s8,s2_walls_s8,s3_walls_s8,s4_walls_s8,d1_plate_s9,d2_plate_s9,d3_plate_s9,d4_plate_s9,s1_plate_s9,s2_plate_s9,s3_plate_s9,s4_plate_s9,d1_walls_s9,d2_walls_s9,d3_walls_s9,d4_walls_s9,s1_walls_s9,s2_walls_s9,s3_walls_s9,s4_walls_s9,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
0,0,75.0,5800,9720,400,400,2580,24,24,14,24,200,12.8,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,75.0,75.0,75.0,75.0,14,12,12,24,200,200,200,200,24,12,12,24,75.0,75.0,75.0,75.0,14,12,12,24,200,200,200,200,24,12,12,24,75.0,75.0,75.0,75.0,14,12,12,24,200,200,200,200,24,12,12,24,75.0,75.0,75.0,75.0,14,12,12,24,200,200,200,200,24,12,12,24,75.0,75.0,75.0,75.0,14,12,12,24,200,200,200,200,24,12,12,24,75.0,75.0,75.0,75.0,14,12,12,24,200,200,200,200,24,12,12,24,75.0,75.0,75.0,75.0,14,12,12,24,200,200,200,200,24,12,12,24,75.0,75.0,75.0,75.0,14,12,12,24,200,200,200,200,24,12,12,24,75.0,75.0,75.0,75.0,14,12,12,24,200,200,200,200,6.009173856267083,225.94854736328125,5247.05859375,-1071.47802734375,eta_4_x,0,4.050106942968732,225.94854736328125,152.94117736816406,-1071.47802734375,eta_3_bot,0
1,1,94.44444444444444,5800,9720,400,400,2580,24,24,14,24,200,12.8,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,94.44444444444444,94.44444444444444,94.44444444444444,94.44444444444444,14,12,12,24,200,200,200,200,24,12,12,24,94.44444444444444,94.44444444444444,94.44444444444444,94.44444444444444,14,12,12,24,200,200,200,200,24,12,12,24,94.44444444444444,94.44444444444444,94.44444444444444,94.44444444444444,14,12,12,24,200,200,200,200,24,12,12,24,94.44444444444444,94.44444444444444,94.44444444444444,94.44444444444444,14,12,12,24,200,200,200,200,24,12,12,24,94.44444444444444,94.44444444444444,94.44444444444444,94.44444444444444,14,12,12,24,200,200,200,200,24,12,12,24,94.44444444444444,94.44444444444444,94.44444444444444,94.44444444444444,14,12,12,24,200,200,200,200,24,12,12,24,94.44444444444444,94.44444444444444,94.44444444444444,94.44444444444444,14,12,12,24,200,200,200,200,24,12,12,24,94.44444444444444,94.44444444444444,94.44444444444444,94.44444444444444,14,12,12,24,200,200,200,200,24,12,12,24,94.44444444444444,94.44444444444444,94.44444444444444,94.44444444444444,14,12,12,24,200,200,200,200,5.78764533225723,225.94854736328125,5247.05859375,-1071.47802734375,eta_4_x,0,3.890137245902248,225.94854736328125,152.94117736816406,-1071.47802734375,eta_3_bot,0
2,2,113.88888888888889,5800,9720,400,400,2580,24,24,14,24,200,12.8,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,113.88888888888889,113.88888888888889,113.88888888888889,113.88888888888889,14,12,12,24,200,200,200,200,24,12,12,24,113.88888888888889,113.88888888888889,113.88888888888889,113.88888888888889,14,12,12,24,200,200,200,200,24,12,12,24,113.88888888888889,113.88888888888889,113.88888888888889,113.88888888888889,14,12,12,24,200,200,200,200,24,12,12,24,113.88888888888889,113.88888888888889,113.88888888888889,113.88888888888889,14,12,12,24,200,200,200,200,24,12,12,24,113.88888888888889,113.88888888888889,113.88888888888889,113.88888888888889,14,12,12,24,200,200,200,200,24,12,12,24,113.88888888888889,113.88888888888889,113.88888888888889,113.88888888888889,14,12,12,24,200,200,200,200,24,12,12,24,113.88888888888889,113.88888888888889,113.88888888888889,113.88888888888889,14,12,12,24,200,200,200,200,24,12,12,24,113.88888888888889,113.88888888888889,113.88888888888889,113.88888888888889,14,12,12,24,200,200,200,200,24,12,12,24,113.88888888888889,113.88888888888889,113.88888888888889,113.88888888888889,14,12,12,24,200,200,200,200,5.579885888030068,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,3.78077108599185,225.94854736328125,152.94117736816406,-1071.47802734375,eta_3_bot,0
3,3,133.33333333333331,5800,9720,400,400,2580,24,24,14,24,200,12.8,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,133.33333333333331,133.33333333333331,133.33333333333331,133.33333333333331,14,12,12,24,200,200,200,200,24,12,12,24,133.33333333333331,133.33333333333331,133.33333333333331,133.33333333333331,14,12,12,24,200,200,200,200,24,12,12,24,133.33333333333331,133.33333333333331,133.33333333333331,133.33333333333331,14,12,12,24,200,200,200,200,24,12,12,24,133.33333333333331,133.33333333333331,133.33333333333331,133.33333333333331,14,12,12,24,200,200,200,200,24,12,12,24,133.33333333333331,133.33333333333331,133.33333333333331,133.33333333333331,14,12,12,24,200,200,200,200,24,12,12,24,133.33333333333331,133.33333333333331,133.33333333333331,133.33333333333331,14,12,12,24,200,200,200,200,24,12,12,24,133.33333333333331,133.33333333333331,133.33333333333331,133.33333333333331,14,12,12,24,200,200,200,200,24,12,12,24,133.33333333333331,133.33333333333331,133.33333333333331,133.33333333333331,14,12,12,24,200,200,200,200,24,12,12,24,133.33333333333331,133.33333333333331,133.33333333333331,133.33333333333331,14,12,12,24,200,200,200,200,4.90073924576928,225.94854736328125,2506.003662109375,-352.941162109375,eta_1_x,0,3.698963084045797,225.94854736328125,152.94117736816406,-1071.47802734375,eta_3_bot,0
4,4,152.77777777777777,5800,9720,400,400,2580,24,24,14,24,200,12.8,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,152.77777777777777,152.77777777777777,152.77777777777777,152.77777777777777,14,12,12,24,200,200,200,200,24,12,12,24,152.77777777777777,152.77777777777777,152.77777777777777,152.77777777777777,14,12,12,24,200,200,200,200,24,12,12,24,152.77777777777777,152.77777777777777,152.77777777777777,152.77777777777777,14,12,12,24,200,200,200,200,24,12,12,24,152.77777777777777,152.77777777777777,152.77777777777777,152.77777777777777,14,12,12,24,200,200,200,200,24,12,12,24,152.77777777777777,152.77777777777777,152.77777777777777,152.77777777777777,14,12,12,24,200,200,200,200,24,12,12,24,152.77777777777777,152.77777777777777,152.77777777777777,152.77777777777777,14,12,12,24,200,200,200,200,24,12,12,24,152.77777777777777,152.77777777777777,152.77777777777777,152.77777777777777,14,12,12,24,200,200,200,200,24,12,12,24,152.77777777777777,152.77777777777777,152.77777777777777,152.77777777777777,14,12,12,24,200,200,200,200,24,12,12,24,152.77777777777777,152.77777777777777,152.77777777777777,152.77777777777777,14,12,12,24,200,200,200,200,4.381616346151436,225.94854736328125,2506.003662109375,-352.941162109375,eta_1_x,0,3.640305649000667,225.94854736328125,152.94117736816406,-1071.47802734375,eta_3_bot,0
5,5,172.22222222222223,5800,9720,400,400,2580,24,24,14,24,200,12.8,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,172.22222222222223,172.22222222222223,172.22222222222223,172.22222222222223,14,12,12,24,200,200,200,200,24,12,12,24,172.22222222222223,172.22222222222223,172.22222222222223,172.22222222222223,14,12,12,24,200,200,200,200,24,12,12,24,172.22222222222223,172.22222222222223,172.22222222222223,172.22222222222223,14,12,12,24,200,200,200,200,24,12,12,24,172.22222222222223,172.22222222222223,172.22222222222223,172.22222222222223,14,12,12,24,200,200,200,200,24,12,12,24,172.22222222222223,172.22222222222223,172.22222222222223,172.22222222222223,14,12,12,24,200,200,200,200,24,12,12,24,172.22222222222223,172.22222222222223,172.22222222222223,172.22222222222223,14,12,12,24,200,200,200,200,24,12,12,24,172.22222222222223,172.22222222222223,172.22222222222223,172.22222222222223,14,12,12,24,200,200,200,200,24,12,12,24,172.22222222222223,172.22222222222223,172.22222222222223,172.22222222222223,14,12,12,24,200,200,200,200,24,12,12,24,172.22222222222223,172.22222222222223,172.22222222222223,172.22222222222223,14,12,12,24,200,200,200,200,3.970601377233688,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,3.526062259281049,225.94854736328125,2506.003662109375,-352.941162109375,eta_3_top,0
6,6,191.66666666666663,5800,9720,400,400,2580,24,24,14,24,200,12.8,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,191.66666666666663,191.66666666666663,191.66666666666663,191.66666666666663,14,12,12,24,200,200,200,200,24,12,12,24,191.66666666666663,191.66666666666663,191.66666666666663,191.66666666666663,14,12,12,24,200,200,200,200,24,12,12,24,191.66666666666663,191.66666666666663,191.66666666666663,191.66666666666663,14,12,12,24,200,200,200,200,24,12,12,24,191.66666666666663,191.66666666666663,191.66666666666663,191.66666666666663,14,12,12,24,200,200,200,200,24,12,12,24,191.66666666666663,191.66666666666663,191.66666666666663,191.66666666666663,14,12,12,24,200,200,200,200,24,12,12,24,191.66666666666663,191.66666666666663,191.66666666666663,191.66666666666663,14,12,12,24,200,200,200,200,24,12,12,24,191.66666666666663,191.66666666666663,191.66666666666663,191.66666666666663,14,12,12,24,200,200,200,200,24,12,12,24,191.66666666666663,191.66666666666663,191.66666666666663,191.66666666666663,14,12,12,24,200,200,200,200,24,12,12,24,191.66666666666663,191.66666666666663,191.66666666666663,191.66666666666663,14,12,12,24,200,200,200,200,3.6307474492543976,225.94854736328125,2506.003662109375,-352.941162109375,eta_1_x,0,3.3856575485760816,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0
7,7,211.1111111111111,5800,9720,400,400,2580,24,24,14,24,200,12.8,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,211.1111111111111,211.1111111111111,211.1111111111111,211.1111111111111,14,12,12,24,200,200,200,200,24,12,12,24,211.1111111111111,211.1111111111111,211.1111111111111,211.1111111111111,14,12,12,24,200,200,200,200,24,12,12,24,211.1111111111111,211.1111111111111,211.1111111111111,211.1111111111111,14,12,12,24,200,200,200,200,24,12,12,24,211.1111111111111,211.1111111111111,211.1111111111111,211.1111111111111,14,12,12,24,200,200,200,200,24,12,12,24,211.1111111111111,211.1111111111111,211.1111111111111,211.1111111111111,14,12,12,24,200,200,200,200,24,12,12,24,211.1111111111111,211.1111111111111,211.1111111111111,211.1111111111111,14,12,12,24,200,200,200,200,24,12,12,24,211.1111111111111,211.1111111111111,211.1111111111111,211.1111111111111,14,12,12,24,200,200,200,200,24,12,12,24,211.1111111111111,211.1111111111111,211.1111111111111,211.1111111111111,14,12,12,24,200,200,200,200,24,12,12,24,211.1111111111111,211.1111111111111,211.1111111111111,211.1111111111111,14,12,12,24,200,200,200,200,3.352520398216382,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,3.263844860179374,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0
8,8,230.55555555555557,5800,9720,400,400,2580,24,24,14,24,200,12.8,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,230.55555555555557,230.55555555555557,230.55555555555557,230.55555555555557,14,12,12,24,200,200,200,200,24,12,12,24,230.55555555555557,230.55555555555557,230.55555555555557,230.55555555555557,14,12,12,24,200,200,200,200,24,12,12,24,230.55555555555557,230.55555555555557,230.55555555555557,230.55555555555557,14,12,12,24,200,200,200,200,24,12,12,24,230.55555555555557,230.55555555555557,230.55555555555557,230.55555555555557,14,12,12,24,200,200,200,200,24,12,12,24,230.55555555555557,230.55555555555557,230.55555555555557,230.55555555555557,14,12,12,24,200,200,200,200,24,12,12,24,230.55555555555557,230.55555555555557,230.55555555555557,230.55555555555557,14,12,12,24,200,200,200,200,24,12,12,24,230.55555555555557,230.55555555555557,230.55555555555557,230.55555555555557,14,12,12,24,200,200,200,200,24,12,12,24,230.55555555555557,230.55555555555557,230.55555555555557,230.55555555555557,14,12,12,24,200,200,200,200,24,12,12,24,230.55555555555557,230.55555555555557,230.55555555555557,230.55555555555557,14,12,12,24,200,200,200,200,3.1170538064274997,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,3.157067158570143,225.94854736328125,1975.9962158203125,-352.941162109375,eta_3_top,0
9,9,250.0,5800,9720,400,400,2580,24,24,14,24,200,12.8,390,1.85,0.18179012,5,-0.002,721.5,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.05,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,12,24,12,12,24,250.0,250.0,250.0,250.0,14,12,12,24,200,200,200,200,24,12,12,24,250.0,250.0,250.0,250.0,14,12,12,24,200,200,200,200,24,12,12,24,250.0,250.0,250.0,250.0,14,12,12,24,200,200,200,200,24,12,12,24,250.0,250.0,250.0,250.0,14,12,12,24,200,200,200,200,24,12,12,24,250.0,250.0,250.0,250.0,14,12,12,24,200,200,200,200,24,12,12,24,250.0,250.0,250.0,250.0,14,12,12,24,200,200,200,200,24,12,12,24,250.0,250.0,250.0,250.0,14,12,12,24,200,200,200,200,24,12,12,24,250.0,250.0,250.0,250.0,14,12,12,24,200,200,200,200,24,12,12,24,250.0,250.0,250.0,250.0,14,12,12,24,200,200,200,200,2.9133682375024588,225.94854736328125,1975.9962158203125,-352.941162109375,eta_1_x,0,3.063763354400582,225.94854736328125,2506.003662109375,-352.941162109375,eta_3_top,0
