,L,b1,b2,alpha_l,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,l_sec,t_p,t_w,h_w,h_F,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,fcc,fsy,fsu,esu,d_p_1_o,d_p_1_i,s_p_1_o,s_p_1_i,d_p_2_o,d_p_2_i,s_p_2_o,s_p_2_i,d_p_3_o,d_p_3_i,s_p_3_o,s_p_3_i,d_p_4_o,d_p_4_i,s_p_4_o,s_p_4_i,d_p_5_o,d_p_5_i,s_p_5_o,s_p_5_i,d_p_6_o,d_p_6_i,s_p_6_o,s_p_6_i,d_p_7_o,d_p_7_i,s_p_7_o,s_p_7_i,d_p_8_o,d_p_8_i,s_p_8_o,s_p_8_i,d_p_9_o,d_p_9_i,s_p_9_o,s_p_9_i,d_w1_1_o,d_w1_1_i,s_w1_1_o,s_w1_1_i,d_w1_2_o,d_w1_2_i,s_w1_2_o,s_w1_2_i,d_w1_3_o,d_w1_3_i,s_w1_3_o,s_w1_3_i,d_w1_4_o,d_w1_4_i,s_w1_4_o,s_w1_4_i,d_w1_5_o,d_w1_5_i,s_w1_5_o,s_w1_5_i,d_w1_6_o,d_w1_6_i,s_w1_6_o,s_w1_6_i,d_w1_7_o,d_w1_7_i,s_w1_7_o,s_w1_7_i,d_w1_8_o,d_w1_8_i,s_w1_8_o,s_w1_8_i,d_w1_9_o,d_w1_9_i,s_w1_9_o,s_w1_9_i,d_w2_1_o,d_w2_1_i,s_w2_1_o,s_w2_1_i,d_w2_2_o,d_w2_2_i,s_w2_2_o,s_w2_2_i,d_w2_3_o,d_w2_3_i,s_w2_3_o,s_w2_3_i,d_w2_4_o,d_w2_4_i,s_w2_4_o,s_w2_4_i,d_w2_5_o,d_w2_5_i,s_w2_5_o,s_w2_5_i,d_w2_6_o,d_w2_6_i,s_w2_6_o,s_w2_6_i,d_w2_7_o,d_w2_7_i,s_w2_7_o,s_w2_7_i,d_w2_8_o,d_w2_8_i,s_w2_8_o,s_w2_8_i,d_w2_9_o,d_w2_9_i,s_w2_9_o,s_w2_9_i,withMPCs,offsetmodeling,mesh_size_factor,ecu
0,4022,34617,11604,105,0.08244477974593338,0.13385442133807585,0.05012562708433946,0.22137988839996486,0.40423572167291677,892,1332,3176,729,0.26130166450097486,0.33728364896396096,0,0,False,False,0,0,60,600.000678933394,850.0001308089951,0.8000049553743478,16,22,150,75,16,22,150,75,16,22,150,75,16,22,150,75,16,22,150,75,16,22,150,75,16,22,150,75,16,22,150,75,16,22,150,75,14,30,250,100,14,30,250,100,14,30,250,100,14,30,250,100,14,30,250,100,14,30,250,100,14,30,250,100,14,30,250,100,14,30,250,100,26,22,200,250,26,22,200,250,26,22,200,250,26,22,200,250,26,22,200,250,26,22,200,250,26,22,200,250,26,22,200,250,26,22,200,250,True,True,100,-0.0022880175327183224
1,7396,21146,30266,112,0.22175422883757634,0.07596726324490577,0.11831161328099378,0.41321753445598347,0.12188056586643009,1052,1025,2053,1062,0.12047741461912187,0.40313375545436303,0,0,False,False,0,0,80,600.0006567243806,850.0000162067467,0.8000097875839507,10,16,250,200,10,16,250,200,10,16,250,200,10,16,250,200,10,16,250,200,10,16,250,200,10,16,250,200,10,16,250,200,10,16,250,200,20,14,150,100,20,14,150,100,20,14,150,100,20,14,150,100,20,14,150,100,20,14,150,100,20,14,150,100,20,14,150,100,20,14,150,100,18,22,100,150,18,22,100,150,18,22,100,150,18,22,100,150,18,22,100,150,18,22,100,150,18,22,100,150,18,22,100,150,18,22,100,150,True,True,100,-0.002515576591108743
2,9413,8674,21126,113,0.3849951381162048,0.2597670895081699,0.22850362618921405,0.39249279571316914,0.18861785934238523,537,374,3349,661,0.09567314616405717,0.07715741352632055,0,0,False,False,0,0,80,600.0008894706332,850.0005733711398,0.8000012200434248,10,22,75,100,10,22,75,100,10,22,75,100,10,22,75,100,10,22,75,100,10,22,75,100,10,22,75,100,10,22,75,100,10,22,75,100,16,18,250,75,16,18,250,75,16,18,250,75,16,18,250,75,16,18,250,75,16,18,250,75,16,18,250,75,16,18,250,75,16,18,250,75,22,20,150,250,22,20,150,250,22,20,150,250,22,20,150,250,22,20,150,250,22,20,150,250,22,20,150,250,22,20,150,250,22,20,150,250,True,True,100,-0.002515576591108743
3,15649,14750,23590,109,0.3816820820170453,0.38386742703858984,0.36326695742047654,0.1196430755501555,0.30019936809079384,449,1424,3536,742,0.07850490237407273,0.2650397777418322,0,0,False,False,0,0,40,600.000391870518,850.000119977142,0.8000086134178028,16,22,200,200,16,22,200,200,16,22,200,200,16,22,200,200,16,22,200,200,16,22,200,200,16,22,200,200,16,22,200,200,16,22,200,200,26,12,75,200,26,12,75,200,26,12,75,200,26,12,75,200,26,12,75,200,26,12,75,200,26,12,75,200,26,12,75,200,26,12,75,200,30,10,150,250,30,10,150,250,30,10,150,250,30,10,150,250,30,10,150,250,30,10,150,250,30,10,150,250,30,10,150,250,30,10,150,250,True,True,100,-0.002
4,15346,15945,9534,61,0.18560856009459614,0.3690412175931315,0.4364532204004354,0.2964188032149907,0.4349123564155919,413,440,4966,282,0.18796240775959921,0.2225578141972394,0,0,False,False,0,0,45,600.0009352402637,850.0009527581902,0.8000010123862347,20,18,250,75,20,18,250,75,20,18,250,75,20,18,250,75,20,18,250,75,20,18,250,75,20,18,250,75,20,18,250,75,20,18,250,75,26,10,150,100,26,10,150,100,26,10,150,100,26,10,150,100,26,10,150,100,26,10,150,100,26,10,150,100,26,10,150,100,26,10,150,100,30,26,150,100,30,26,150,100,30,26,150,100,30,26,150,100,30,26,150,100,30,26,150,100,30,26,150,100,30,26,150,100,30,26,150,100,True,True,100,-0.002
5,5439,7239,31827,119,0.2933698539157608,0.11274404990102906,0.35914620613339143,0.10157136124649821,0.28065250931297553,1306,843,2777,672,0.13332559714697562,0.13228932063972604,0,0,False,False,0,0,70,600.0002900185331,850.0005730258825,0.8000052687179607,26,16,150,200,26,16,150,200,26,16,150,200,26,16,150,200,26,16,150,200,26,16,150,200,26,16,150,200,26,16,150,200,26,16,150,200,26,22,100,150,26,22,100,150,26,22,100,150,26,22,100,150,26,22,100,150,26,22,100,150,26,22,100,150,26,22,100,150,26,22,100,150,22,18,75,100,22,18,75,100,22,18,75,100,22,18,75,100,22,18,75,100,22,18,75,100,22,18,75,100,22,18,75,100,22,18,75,100,True,True,100,-0.0024158769243143416
6,10081,24987,33957,62,0.2036038908106998,0.1681419648465441,0.25634061785433027,0.19306240504086114,0.24703833693555713,1012,259,2741,501,0.26329363919773224,0.3621972424628142,0,0,False,False,0,0,45,600.0009199012675,850.0000333980954,0.8000087946841699,20,20,200,100,20,20,200,100,20,20,200,100,20,20,200,100,20,20,200,100,20,20,200,100,20,20,200,100,20,20,200,100,20,20,200,100,10,16,100,250,10,16,100,250,10,16,100,250,10,16,100,250,10,16,100,250,10,16,100,250,10,16,100,250,10,16,100,250,10,16,100,250,16,16,150,75,16,16,150,75,16,16,150,75,16,16,150,75,16,16,150,75,16,16,150,75,16,16,150,75,16,16,150,75,16,16,150,75,True,True,100,-0.002
7,15445,11527,23865,109,0.39241588851880344,0.1721547889217622,0.40843227307431856,0.4201703953824268,0.23795287320541686,1464,1297,2633,907,0.12139068280866912,0.18005793434612477,0,0,False,False,0,0,80,600.0002480696409,850.0002640577003,0.8000011449026908,12,12,150,100,12,12,150,100,12,12,150,100,12,12,150,100,12,12,150,100,12,12,150,100,12,12,150,100,12,12,150,100,12,12,150,100,22,18,150,100,22,18,150,100,22,18,150,100,22,18,150,100,22,18,150,100,22,18,150,100,22,18,150,100,22,18,150,100,22,18,150,100,30,26,200,100,30,26,200,100,30,26,200,100,30,26,200,100,30,26,200,100,30,26,200,100,30,26,200,100,30,26,200,100,30,26,200,100,True,True,100,-0.002515576591108743
8,6990,23658,34061,66,0.21181065650338898,0.383568494732157,0.3011637962695429,0.27999665595528356,0.33117410332775066,489,952,3359,468,0.22865848051817333,0.44974546341114074,0,0,False,False,0,0,55,600.000166842385,850.0009423357144,0.8000007652757273,12,12,250,200,12,12,250,200,12,12,250,200,12,12,250,200,12,12,250,200,12,12,250,200,12,12,250,200,12,12,250,200,12,12,250,200,22,16,250,100,22,16,250,100,22,16,250,100,22,16,250,100,22,16,250,100,22,16,250,100,22,16,250,100,22,16,250,100,22,16,250,100,12,10,250,150,12,10,250,150,12,10,250,150,12,10,250,150,12,10,250,150,12,10,250,150,12,10,250,150,12,10,250,150,12,10,250,150,True,True,100,-0.0021994679057750484
9,12880,8503,14493,108,0.22642521866455145,0.41193918886629527,0.44082812296274576,0.21788736805070896,0.33543829205491327,430,426,2206,190,0.4448788496240714,0.17618304067908064,0,0,False,False,0,0,70,600.00040841602,850.0009386507868,0.8000048425868127,20,20,100,150,20,20,100,150,20,20,100,150,20,20,100,150,20,20,100,150,20,20,100,150,20,20,100,150,20,20,100,150,20,20,100,150,16,14,200,100,16,14,200,100,16,14,200,100,16,14,200,100,16,14,200,100,16,14,200,100,16,14,200,100,16,14,200,100,16,14,200,100,10,26,150,75,10,26,150,75,10,26,150,75,10,26,150,75,10,26,150,75,10,26,150,75,10,26,150,75,10,26,150,75,10,26,150,75,True,True,100,-0.0024158769243143416
